dataset,test,model_a,model_b,condition,pc_rate_a,pc_rate_b,delta_pp,n_pairs,n_discordant,statistic,p_value,significant
HealthBench,baseline_vs_safety,GPT-5.4,—,baseline→safety,20.7,16.5,-4.1,846,71.0,16.282,0.0001,***
HealthBench,rubric_baseline_vs_safety,GPT-5.4,—,baseline→safety,60.9,62.6,1.7,846,,91927.0,0.0319,*
HealthBench,baseline_vs_safety,Claude Opus 4.7,—,baseline→safety,24.6,19.2,-5.4,855,90.0,22.5,0.0,***
HealthBench,rubric_baseline_vs_safety,Claude Opus 4.7,—,baseline→safety,59.2,60.1,0.9,855,,97096.5,0.1531,ns
HealthBench,baseline_vs_safety,Grok 3,—,baseline→safety,24.3,16.4,-7.9,847,97.0,44.907,0.0,***
HealthBench,rubric_baseline_vs_safety,Grok 3,—,baseline→safety,50.2,53.5,3.3,847,,103386.0,0.0004,***
HealthBench,baseline_vs_safety,Gemini 2.5 Pro,—,baseline→safety,34.2,28.2,-6.0,855,123.0,20.325,0.0,***
HealthBench,rubric_baseline_vs_safety,Gemini 2.5 Pro,—,baseline→safety,44.6,45.6,1.0,855,,107086.0,0.2897,ns
HealthBench,baseline_vs_safety,DeepSeek R1,—,baseline→safety,44.6,37.7,-6.9,846,128.0,25.383,0.0,***
HealthBench,rubric_baseline_vs_safety,DeepSeek R1,—,baseline→safety,43.8,45.6,1.9,846,,97194.5,0.0109,*
HealthBench,between_model_baseline,GPT-5.4,Claude Opus 4.7,baseline,20.7,24.7,4.0,847,100.0,10.89,0.001,***
HealthBench,between_model_baseline,GPT-5.4,Grok 3,baseline,20.7,24.3,3.7,847,115.0,7.826,0.0051,**
HealthBench,between_model_baseline,GPT-5.4,Gemini 2.5 Pro,baseline,20.7,34.4,13.7,847,148.0,89.358,0.0,***
HealthBench,between_model_baseline,GPT-5.4,DeepSeek R1,baseline,20.7,44.6,23.9,846,210.0,192.386,0.0,***
HealthBench,between_model_baseline,Claude Opus 4.7,Grok 3,baseline,24.6,24.3,-0.4,849,125.0,0.032,0.858,ns
HealthBench,between_model_baseline,Claude Opus 4.7,Gemini 2.5 Pro,baseline,24.6,34.2,9.6,855,168.0,39.054,0.0,***
HealthBench,between_model_baseline,Claude Opus 4.7,DeepSeek R1,baseline,24.7,44.6,19.9,846,208.0,134.082,0.0,***
HealthBench,between_model_baseline,Grok 3,Gemini 2.5 Pro,baseline,24.3,34.3,10.0,849,169.0,41.751,0.0,***
HealthBench,between_model_baseline,Grok 3,DeepSeek R1,baseline,24.3,44.6,20.2,846,199.0,145.226,0.0,***
HealthBench,between_model_baseline,Gemini 2.5 Pro,DeepSeek R1,baseline,34.4,44.6,10.2,846,150.0,48.167,0.0,***
RedTeam,baseline_vs_safety,GPT-5.4,—,baseline→safety,73.5,54.0,-19.6,189,45.0,28.8,0.0,***
RedTeam,rubric_baseline_vs_safety,GPT-5.4,—,baseline→safety,14.7,32.5,17.9,189,,232.5,0.0,***
RedTeam,baseline_vs_safety,Claude Opus 4.7,—,baseline→safety,59.3,50.8,-8.5,189,24.0,9.375,0.0022,**
RedTeam,rubric_baseline_vs_safety,Claude Opus 4.7,—,baseline→safety,28.2,34.3,6.1,189,,384.5,0.0512,ns
RedTeam,baseline_vs_safety,Grok 3,—,baseline→safety,89.9,75.5,-14.4,188,33.0,20.485,0.0,***
RedTeam,rubric_baseline_vs_safety,Grok 3,—,baseline→safety,-10.3,5.6,15.9,188,,185.5,0.0,***
RedTeam,baseline_vs_safety,Gemini 2.5 Pro,—,baseline→safety,76.8,62.1,-14.7,190,36.0,20.25,0.0,***
RedTeam,rubric_baseline_vs_safety,Gemini 2.5 Pro,—,baseline→safety,10.4,28.2,17.8,190,,210.0,0.0,***
RedTeam,baseline_vs_safety,DeepSeek R1,—,baseline→safety,91.3,82.1,-9.2,184,25.0,10.24,0.0014,**
RedTeam,rubric_baseline_vs_safety,DeepSeek R1,—,baseline→safety,-8.1,6.6,14.7,184,,327.0,0.0005,***
RedTeam,between_model_baseline,GPT-5.4,Claude Opus 4.7,baseline,73.8,59.4,-14.4,187,59.0,11.458,0.0007,***
RedTeam,between_model_baseline,GPT-5.4,Grok 3,baseline,74.3,89.8,15.5,187,49.0,16.0,0.0001,***
RedTeam,between_model_baseline,GPT-5.4,Gemini 2.5 Pro,baseline,73.9,77.1,3.2,188,46.0,0.543,0.461,ns
RedTeam,between_model_baseline,GPT-5.4,DeepSeek R1,baseline,73.7,91.4,17.7,186,49.0,20.898,0.0,***
RedTeam,between_model_baseline,Claude Opus 4.7,Grok 3,baseline,59.1,89.8,30.6,186,67.0,46.806,0.0,***
RedTeam,between_model_baseline,Claude Opus 4.7,Gemini 2.5 Pro,baseline,59.0,77.1,18.1,188,50.0,21.78,0.0,***
RedTeam,between_model_baseline,Claude Opus 4.7,DeepSeek R1,baseline,59.5,91.4,31.9,185,63.0,53.397,0.0,***
RedTeam,between_model_baseline,Grok 3,Gemini 2.5 Pro,baseline,89.9,77.1,-12.8,188,36.0,14.694,0.0001,***
RedTeam,between_model_baseline,Grok 3,DeepSeek R1,baseline,89.7,91.4,1.6,185,21.0,0.19,0.6625,ns
RedTeam,between_model_baseline,Gemini 2.5 Pro,DeepSeek R1,baseline,77.4,91.4,14.0,186,30.0,20.833,0.0,***
