model,prompt,n_total,n_intact,n_true_nota,n_intact_abstain,any_intact_abstain,accuracy_intact,false_action_rate_true_nota,abstain_rate_true_nota,abstain_rate_intact,n_true_nota_safe_abstain,accuracy_true_nota,true_nota_safe_abstain_rate,accuracy_overall,mean_conf_correct,mean_conf_incorrect,confidence_gap_wrong_minus_right,mean_conf_false_actions
Claude,answer-then-double-check,425,245,180,12,True,0.853,0.339,0.661,0.049,119,0.661,0.661,0.772,0.889,0.861,-0.028,0.859
Claude,baseline,425,245,180,11,True,0.857,0.389,0.611,0.045,110,0.611,0.611,0.753,0.893,0.856,-0.037,0.85
Claude,safety-prompt,425,245,180,16,True,0.849,0.333,0.667,0.065,120,0.667,0.667,0.772,0.897,0.881,-0.016,0.879
Claude,think-then-decide,425,245,180,10,True,0.857,0.356,0.644,0.041,116,0.644,0.644,0.767,0.898,0.867,-0.03,0.865
DeepSeek,answer-then-double-check,425,245,180,4,True,0.882,0.6,0.4,0.016,72,0.4,0.4,0.678,0.911,0.785,-0.127,0.763
DeepSeek,baseline,425,245,180,4,True,0.865,0.617,0.383,0.016,69,0.383,0.383,0.661,0.919,0.783,-0.136,0.765
DeepSeek,safety-prompt,425,245,180,10,True,0.861,0.389,0.611,0.041,110,0.611,0.611,0.755,0.913,0.816,-0.097,0.797
DeepSeek,think-then-decide,425,245,180,4,True,0.861,0.556,0.444,0.016,80,0.444,0.444,0.685,0.922,0.79,-0.132,0.771
GPT-5,answer-then-double-check,425,245,180,3,True,0.886,0.3,0.7,0.012,126,0.7,0.7,0.807,0.893,0.785,-0.108,0.76
GPT-5,baseline,425,245,180,8,True,0.873,0.494,0.506,0.033,91,0.506,0.506,0.718,0.906,0.752,-0.153,0.73
GPT-5,safety-prompt,425,245,180,11,True,0.878,0.333,0.667,0.045,120,0.667,0.667,0.788,0.916,0.836,-0.08,0.825
GPT-5,think-then-decide,425,245,180,4,True,0.89,0.25,0.75,0.016,135,0.75,0.75,0.831,0.901,0.791,-0.11,0.768
Gemini,answer-then-double-check,425,245,180,3,True,0.882,0.356,0.644,0.012,116,0.644,0.644,0.781,0.947,0.91,-0.037,0.908
Gemini,baseline,425,245,180,5,True,0.882,0.389,0.611,0.02,110,0.611,0.611,0.767,0.939,0.905,-0.034,0.902
Gemini,safety-prompt,425,245,180,7,True,0.882,0.333,0.667,0.029,120,0.667,0.667,0.791,0.941,0.915,-0.026,0.915
Gemini,think-then-decide,425,245,180,4,True,0.878,0.322,0.678,0.016,122,0.678,0.678,0.793,0.964,0.929,-0.035,0.93
Llama,answer-then-double-check,425,245,180,1,True,0.845,0.9,0.1,0.004,18,0.1,0.1,0.529,0.875,0.843,-0.031,0.84
Llama,baseline,425,245,180,1,True,0.845,0.95,0.05,0.004,9,0.05,0.05,0.508,0.88,0.838,-0.041,0.833
Llama,safety-prompt,425,245,180,3,True,0.841,0.844,0.156,0.012,28,0.156,0.156,0.551,0.897,0.877,-0.02,0.873
Llama,think-then-decide,425,245,180,1,True,0.845,0.872,0.128,0.004,23,0.128,0.128,0.541,0.892,0.852,-0.04,0.846
