row_index,question_id,stem,option_A,option_B,option_C,option_D,gpt5_raw,gpt5_choice,gpt5_abstain_code,gpt5_confidence,gpt5_rationale
1,369ee941ab1d2799ffbd6914eb48d8dae7a478d491da8730898f282f90583b9e,A 75-year-old patient has a history of squamous cell carcinoma of the lung that was resected some years ago. He presents with pedal edema. Urinary dipstick showed protein 2+. What is the most likely diagnosis?,Membranous nephropathy,Membranoproliferative glomerulonephritis,Minimal change nephropathy,IgA nephropathy,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.87,
  ""rationale"": ""Membranous nephropathy is classically associated with solid tumors, including lung carcinoma, and presents with nephrotic features like pedal edema. Minimal change disease is more linked to Hodgkin lymphoma, while MPGN and IgA nephropathy are not typically associated with solid tumors or nephrotic edema in this context.""
}",A,,0.87,"Membranous nephropathy is classically associated with solid tumors, including lung carcinoma, and presents with nephrotic features like pedal edema. Minimal change disease is more linked to Hodgkin lymphoma, while MPGN and IgA nephropathy are not typically associated with solid tumors or nephrotic edema in this context."
2,848959a0e225bb21e476a7e0a09a317f9f0230646d2462dbb33c75c5011b1501,"You are asked to see a 10-year-old male emergently. He is having
difficulty breathing and swallowing. He has a fever of 38.5 C and is sitting up and leaning slightly forward on the bed when you arrive. You note that there is swelling in the submental and submandibularregions with protrusion of his tongue. You are concerned about a severe infection in the floor of the mouth. Which of the following is true of this condition?",It is an uncommon presentation of mumps of the submandibular gland.,Airway protection may necessitate a tracheostomy,. It is most commonly caused by Staphylococcus aureus.,It usually arises in children as a complication of lymphoma.,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The presentation is classic for Ludwig’s angina, a rapidly progressive cellulitis of the submandibular space with high risk of airway compromise. Airway management may require tracheostomy if intubation is not feasible. It is typically polymicrobial from odontogenic sources, not mumps, Staph aureus, or lymphoma-related.""
}",B,,0.9,"The presentation is classic for Ludwig’s angina, a rapidly progressive cellulitis of the submandibular space with high risk of airway compromise. Airway management may require tracheostomy if intubation is not feasible. It is typically polymicrobial from odontogenic sources, not mumps, Staph aureus, or lymphoma-related."
3,11ad7562a94a37faa7b23ee173610d9a5e7f19970de667598ffa18486fc2d378,"One of the popular aetiological theories of Schizophrenia is the Neurochemical abnormality hypothesis. According to this hypothesis which of the following may contribute to the development of psychosis ; 
 




",GABA hyperactivity,Glutamate hypoactivity,Dopamine hypoactivity,Serotonin hypoactivity,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""Schizophrenia is linked to mesolimbic dopamine hyperactivity and NMDA receptor (glutamate) hypofunction; the latter can produce psychosis and is part of the neurochemical hypothesis. The other options suggest the opposite direction of known associations (GABA tends to be reduced, serotonin hyperactivity is implicated, and dopamine hypoactivity relates more to negative symptoms).""
}",B,,0.9,"Schizophrenia is linked to mesolimbic dopamine hyperactivity and NMDA receptor (glutamate) hypofunction; the latter can produce psychosis and is part of the neurochemical hypothesis. The other options suggest the opposite direction of known associations (GABA tends to be reduced, serotonin hyperactivity is implicated, and dopamine hypoactivity relates more to negative symptoms)."
4,456170ef51e4e0b2fb5686637a80f3615603ec97aabbd19b0bf4e1ea9859d496,A 36-hour old infant presents with repeated blinking and lip smacking. There was no fever or jaundice. The serum calcium measures 1.2 mmol/l. What of the following is not a likely aetiological factor?,Hypoglycaemia,Perinatal asphyxia,Maternal diabetes,Early-Onset Sepsis,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""This presentation suggests hypocalcemic neonatal seizures (serum calcium 1.2 mmol/L is low). Early neonatal hypocalcemia is commonly associated with perinatal asphyxia and maternal diabetes; sepsis can also cause hypocalcemia. Hypoglycaemia is a separate cause of neonatal seizures but is not an etiological factor for hypocalcemia.""
}",A,,0.8,This presentation suggests hypocalcemic neonatal seizures (serum calcium 1.2 mmol/L is low). Early neonatal hypocalcemia is commonly associated with perinatal asphyxia and maternal diabetes; sepsis can also cause hypocalcemia. Hypoglycaemia is a separate cause of neonatal seizures but is not an etiological factor for hypocalcemia.
5,8598af64fdb3213981ac1621a8cd549f7139b8d227ed0e308d076d203d395dd1,"IGF-I is a potent growth & differentiation factor. Peripheral tissue IGF-I exerts local paracrine actions that appear to be both dependent and independent of GH. The major source of circulating IGF-I is from?





",Pancreas,Liver,Heart,Muscle,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""The liver, under GH stimulation, is the principal source of circulating IGF-I, whereas other tissues mainly produce IGF-I for local paracrine/autocrine actions.""
}",B,,0.95,"The liver, under GH stimulation, is the principal source of circulating IGF-I, whereas other tissues mainly produce IGF-I for local paracrine/autocrine actions."
6,905a6e6073b110eba109a703d58099b0df59216bba177ff127211d39c9759924,"A nineteen-year-old-girl is admitted with pelvic pain, a positive pregnancy test and a 3 cm viable ectopic pregnancy seen in the right fallopian tube on ultrasound. She has already had a left salpingectomy for a previous ectopic. The best management would be:",Methotrexate.,Laparotomy.,Conservative management with serial βHCGs.,Laparoscopic salpingectomy.,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.78,
  ""rationale"": ""She is hemodynamically stable with an unruptured 3 cm viable tubal ectopic and has already lost the contralateral tube, so fertility-sparing management is preferred. Methotrexate is appropriate; expectant management is unsafe, laparotomy is unnecessary, and salpingectomy would remove her remaining tube.""
}",A,,0.78,"She is hemodynamically stable with an unruptured 3 cm viable tubal ectopic and has already lost the contralateral tube, so fertility-sparing management is preferred. Methotrexate is appropriate; expectant management is unsafe, laparotomy is unnecessary, and salpingectomy would remove her remaining tube."
7,0f8bb2eda64f6f179af7336a7d8725db23a3c56125b7a0b910783577f801e9b1,"A 32-year-old man is referred to the renal clinic by his GP after a second episode of gross hematuria. Past history of note includes coeliac disease. On both occasions the hematuria appears to have been closely associated with an upper respiratory tract infection. Blood pressure is 125/80 mmHg. Light microscopy of a renal biopsy specimen reveals diffuse mesangial proliferation and extracellular matrix expansion. Ig A deposits are seen on
immunofluorescence. Which of the following diagnoses fits best with this clinical picture?",Alport’s syndrome,Lupus nephritis,IgA nephropathy,Goodpasture’s syndrome,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.98,
  ""rationale"": ""Synpharyngitic gross hematuria and biopsy showing mesangial proliferation with IgA deposition are classic for IgA nephropathy. Alport’s, lupus nephritis, and Goodpasture’s have different clinical and immunofluorescence patterns.""
}",C,,0.98,"Synpharyngitic gross hematuria and biopsy showing mesangial proliferation with IgA deposition are classic for IgA nephropathy. Alport’s, lupus nephritis, and Goodpasture’s have different clinical and immunofluorescence patterns."
8,afb2f8a9191b335e5161483e501cc721c7dd45b35df2c85bef435ec930e5ba72,A 26-year-old female comes to the emergency setting following a high-impact blunt trauma. She ishypotensive with large-volume intraperitoneal fluid on ultrasound (FAST). She has received 2 unitsof whole blood but remains hypotensive. Which of the following is true regarding a damage control treatment strategy?,Damage control resuscitation requires that the patient be  hemodynamically stable beforesurgery is undertaken.,Damage control surgery aims to perform the definitive operation that the patient requires asquickly as possible.,"The patient should remain in the emergency or casualty area until she has been stabilized, asthis is the best place for resuscitation.",Damaged control surgery is always performed by an experienced  surgeon,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""Damage control resuscitation/surgery is for unstable trauma patients, prioritizing rapid hemorrhage and contamination control with abbreviated procedures and early transfer to the OR, not waiting for stability or doing definitive repair. The ED is not the optimal location for ongoing hemorrhage control, and while expertise is preferable, it is not ‘always’ performed by an experienced surgeon. None of the options accurately reflect these principles.""
}",null,NO_VALID_OPTION,0.9,"Damage control resuscitation/surgery is for unstable trauma patients, prioritizing rapid hemorrhage and contamination control with abbreviated procedures and early transfer to the OR, not waiting for stability or doing definitive repair. The ED is not the optimal location for ongoing hemorrhage control, and while expertise is preferable, it is not ‘always’ performed by an experienced surgeon. None of the options accurately reflect these principles."
9,ded60398ca460057abc8708ca47b00a1cec62b89dd1d9ae012a8ffd23ee008bb,"A young medical student has come to you to you with complaints of oligomenorrrhea, hirsuitism and weight gain, ultrasound reveals bulky ovaries with sub-capsular cysts. Most likely diagnosis is: 
",Ovarian cancer.,Cushing's syndrome.,Polycystic ovarian disease.,Diabetes mellitus.,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.97,
  ""rationale"": ""Oligomenorrhea, hirsutism, and weight gain with ultrasound showing bulky ovaries and multiple subcapsular cysts are classic for polycystic ovarian disease (PCOS). Cushing’s can cause hirsutism/weight gain but not the characteristic ovarian ultrasound findings. Ovarian cancer and diabetes mellitus do not fit this presentation.""
}",C,,0.97,"Oligomenorrhea, hirsutism, and weight gain with ultrasound showing bulky ovaries and multiple subcapsular cysts are classic for polycystic ovarian disease (PCOS). Cushing’s can cause hirsutism/weight gain but not the characteristic ovarian ultrasound findings. Ovarian cancer and diabetes mellitus do not fit this presentation."
10,8ed48e257b5db221455eda7a329ed405487caab85154651e4c48f357dde7d85d,"32-year-old man comes to the emergency department with an acutely incarcerated inguinal hernia. With sedation, the hernia is reduced and he feels better. Eighteen hours later, he complains of increasing abdominal pain and has diffuse tenderness on examination. He most likely had which of the following?",Epigastric hernia,Amyand’s hernia,Petit’s (lumbar) hernia,Diastasis recti,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.85,
  ""rationale"": ""Post-reduction worsening pain and diffuse tenderness suggests reduction en masse or a Richter’s hernia with ongoing strangulation, not any of the listed hernia types. None of the options (epigastric, Amyand’s, lumbar, diastasis recti) match this presentation.""
}",null,NO_VALID_OPTION,0.85,"Post-reduction worsening pain and diffuse tenderness suggests reduction en masse or a Richter’s hernia with ongoing strangulation, not any of the listed hernia types. None of the options (epigastric, Amyand’s, lumbar, diastasis recti) match this presentation."
11,e5a27fedf79c3a2209069f7839800ea8c7a2a1e7707c5cf4ff377bfaca63d8f2,"Kwesi Simon Senyo is a 25 year old man whose presented with the father to you at the clinic. His father reports that Kwesi has been a stubborn child since childhood. He would skip school , bully other children , steal from home and sometimes insulted his teachers. Currently he has not been able to stay in school, he has been caught for stealing and scamming people on several occasions. He mostly lies to get money from the parents. He thinks mostly about himself and wouldn’t mind hurting other people to benefit himself. He lacks remorse when he does bad things and is confronted. 
What is the most likely diagnosis for Kwesi’s condition?",Narcissistic personality disorder,Histrionic personality disorder,Avoidant personality disorder,Antisocial personality disorder,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""He shows a pervasive pattern since childhood of deceitfulness, aggression, violation of others' rights, irresponsibility, and lack of remorse, consistent with conduct disorder progressing into antisocial personality disorder in adulthood.""
}",D,,0.95,"He shows a pervasive pattern since childhood of deceitfulness, aggression, violation of others' rights, irresponsibility, and lack of remorse, consistent with conduct disorder progressing into antisocial personality disorder in adulthood."
12,6263a5adb39b83da19092c21e63885cd03f5003aebb1ace6bd465d4440186fae,"A 35-year-old lady presented with a breast lump, 2 cm X 2 cm, next to the nipple. There were three mobile axillary nodes. There was no skin involvement and not fixed to the pectoral muscle. Trucut biopsy of the lump showed duct carcinoma. Sentinel node biopsy was negative. There was no evidence of distant metastases. Given this information ONLY, the best option of her management is:","Do modified radical mastectomy, chemotherapy and radiotherapy","Do simple mastectomy, axillary lymph node dissection, chemotherapy and radiotherapy","Do simple mastectomy, chemotherapy, and radiotherapy.","Do modified radical mastectomy, chemotherapy, radiotherapy, tamoxifen, and Herceptin","{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.8,
  ""rationale"": ""For a 2 cm, clinically non-fixed, sentinel node–negative breast cancer, the standard is breast-conserving surgery with whole-breast radiotherapy; axillary dissection and postmastectomy radiotherapy are not indicated. Systemic therapy (chemo, endocrine, HER2-targeted) depends on receptor/HER2 status, which is not provided. None of the options reflects appropriate breast-conserving management or tailored adjuvant therapy.""
}",null,NO_VALID_OPTION,0.8,"For a 2 cm, clinically non-fixed, sentinel node–negative breast cancer, the standard is breast-conserving surgery with whole-breast radiotherapy; axillary dissection and postmastectomy radiotherapy are not indicated. Systemic therapy (chemo, endocrine, HER2-targeted) depends on receptor/HER2 status, which is not provided. None of the options reflects appropriate breast-conserving management or tailored adjuvant therapy."
13,ad5870ceb62ff64b5859fa3e63e156ac1f26b5ec1a99b316211bcee05f3b96cc,A 65-year-old man has had pain in the left hip joint for a few years that has begun to subside but he then has noticed a reduction in the joint range of motion in the same hip. The most useful single thing he should do is?,Engage in sessions of physiotherapy to loosen the joint,Test for rheumatoid factor,Start a two-week trial of anti-inflammatory drugs to further reduce the pain,Consider hip replacement surgery,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.84,
  ""rationale"": ""Longstanding hip pain with progressive loss of range of motion is most consistent with advanced osteoarthritis. NSAIDs won't restore motion and RF testing is not relevant; physiotherapy has limited benefit in end-stage disease. Total hip replacement is the single most effective intervention to improve function and ROM.""
}",D,,0.84,Longstanding hip pain with progressive loss of range of motion is most consistent with advanced osteoarthritis. NSAIDs won't restore motion and RF testing is not relevant; physiotherapy has limited benefit in end-stage disease. Total hip replacement is the single most effective intervention to improve function and ROM.
14,623fbab888a119358819c7e5113d64fc8541b9c8bcb1008947ab7cb97e89fee5,"A 68-year-old man is admitted to hospital with pneumonia and hyponatraemia with a sodium of 116 mmol/l. He was treated with antibiotics and rapid infusions of 3% hypertonic soline. Despite initial improvement, he started having seizures and went into a coma the next day. What is the possible cause of his deterioration?",Central pontine myelinosis,Acute stroke,Syndrome of inappropriate antidiuretic hormone secretion,Meningitis,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""Severe hyponatraemia rapidly corrected with hypertonic saline can cause osmotic demyelination, classically central pontine myelinolysis, leading to acute neurologic deterioration including seizures and coma. SIADH explains the hyponatraemia but not the sudden decline after rapid correction, and stroke or meningitis are less consistent with the timing and context.""
}",A,,0.9,"Severe hyponatraemia rapidly corrected with hypertonic saline can cause osmotic demyelination, classically central pontine myelinolysis, leading to acute neurologic deterioration including seizures and coma. SIADH explains the hyponatraemia but not the sudden decline after rapid correction, and stroke or meningitis are less consistent with the timing and context."
