row_index,question_id,stem,option_A,option_B,option_C,option_D,gpt5_raw,gpt5_choice,gpt5_abstain_code,gpt5_confidence,gpt5_rationale
1,369ee941ab1d2799ffbd6914eb48d8dae7a478d491da8730898f282f90583b9e,A 75-year-old patient has a history of squamous cell carcinoma of the lung that was resected some years ago. He presents with pedal edema. Urinary dipstick showed protein 2+. What is the most likely diagnosis?,Membranous nephropathy,Membranoproliferative glomerulonephritis,Minimal change nephropathy,IgA nephropathy,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.86,
  ""rationale"": ""Membranous nephropathy is classically associated with solid tumors, especially in older adults, and commonly presents with edema and proteinuria. Minimal change disease is more linked to Hodgkin lymphoma, MPGN with hepatitis/cryoglobulins, and IgA nephropathy typically presents with hematuria rather than prominent edema.""
}",A,,0.86,"Membranous nephropathy is classically associated with solid tumors, especially in older adults, and commonly presents with edema and proteinuria. Minimal change disease is more linked to Hodgkin lymphoma, MPGN with hepatitis/cryoglobulins, and IgA nephropathy typically presents with hematuria rather than prominent edema."
2,848959a0e225bb21e476a7e0a09a317f9f0230646d2462dbb33c75c5011b1501,"You are asked to see a 10-year-old male emergently. He is having
difficulty breathing and swallowing. He has a fever of 38.5 C and is sitting up and leaning slightly forward on the bed when you arrive. You note that there is swelling in the submental and submandibularregions with protrusion of his tongue. You are concerned about a severe infection in the floor of the mouth. Which of the following is true of this condition?",It is an uncommon presentation of mumps of the submandibular gland.,Airway protection may necessitate a tracheostomy,. It is most commonly caused by Staphylococcus aureus.,It usually arises in children as a complication of lymphoma.,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.91,
  ""rationale"": ""The presentation is classic for Ludwig angina, a rapidly progressive cellulitis of the floor of the mouth that can cause airway compromise. Securing the airway, sometimes via tracheostomy, may be necessary. It is typically polymicrobial from dental sources, not due to mumps or Staphylococcus aureus, and not related to lymphoma.""
}",B,,0.91,"The presentation is classic for Ludwig angina, a rapidly progressive cellulitis of the floor of the mouth that can cause airway compromise. Securing the airway, sometimes via tracheostomy, may be necessary. It is typically polymicrobial from dental sources, not due to mumps or Staphylococcus aureus, and not related to lymphoma."
3,11ad7562a94a37faa7b23ee173610d9a5e7f19970de667598ffa18486fc2d378,"One of the popular aetiological theories of Schizophrenia is the Neurochemical abnormality hypothesis. According to this hypothesis which of the following may contribute to the development of psychosis ; 
 




",GABA hyperactivity,Glutamate hypoactivity,Dopamine hypoactivity,Serotonin hypoactivity,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.86,
  ""rationale"": ""NMDA receptor hypofunction (glutamate hypoactivity) is a well-supported neurochemical hypothesis for psychosis, consistent with PCP/ketamine-induced psychotic states. The other options list hypoactivity where hyperactivity is implicated (dopamine, serotonin) or suggest GABA hyperactivity, which is not typically linked to psychosis.""
}",B,,0.86,"NMDA receptor hypofunction (glutamate hypoactivity) is a well-supported neurochemical hypothesis for psychosis, consistent with PCP/ketamine-induced psychotic states. The other options list hypoactivity where hyperactivity is implicated (dopamine, serotonin) or suggest GABA hyperactivity, which is not typically linked to psychosis."
4,456170ef51e4e0b2fb5686637a80f3615603ec97aabbd19b0bf4e1ea9859d496,A 36-hour old infant presents with repeated blinking and lip smacking. There was no fever or jaundice. The serum calcium measures 1.2 mmol/l. What of the following is not a likely aetiological factor?,Hypoglycaemia,Perinatal asphyxia,Maternal diabetes,Early-Onset Sepsis,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.86,
  ""rationale"": ""The infant’s symptoms with calcium 1.2 mmol/L suggest early neonatal hypocalcemia. Early hypocalcemia is associated with maternal diabetes, perinatal asphyxia, and sepsis; hypoglycemia causes seizures but is not a cause of hypocalcemia.""
}",A,,0.86,"The infant’s symptoms with calcium 1.2 mmol/L suggest early neonatal hypocalcemia. Early hypocalcemia is associated with maternal diabetes, perinatal asphyxia, and sepsis; hypoglycemia causes seizures but is not a cause of hypocalcemia."
5,8598af64fdb3213981ac1621a8cd549f7139b8d227ed0e308d076d203d395dd1,"IGF-I is a potent growth & differentiation factor. Peripheral tissue IGF-I exerts local paracrine actions that appear to be both dependent and independent of GH. The major source of circulating IGF-I is from?





",Pancreas,Liver,Heart,Muscle,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""Circulating IGF-I is produced primarily by the liver under growth hormone stimulation. While many tissues produce IGF-I for local (paracrine/autocrine) actions, the liver is the major source of endocrine IGF-I.""
}",B,,0.95,"Circulating IGF-I is produced primarily by the liver under growth hormone stimulation. While many tissues produce IGF-I for local (paracrine/autocrine) actions, the liver is the major source of endocrine IGF-I."
6,905a6e6073b110eba109a703d58099b0df59216bba177ff127211d39c9759924,"A nineteen-year-old-girl is admitted with pelvic pain, a positive pregnancy test and a 3 cm viable ectopic pregnancy seen in the right fallopian tube on ultrasound. She has already had a left salpingectomy for a previous ectopic. The best management would be:",Methotrexate.,Laparotomy.,Conservative management with serial βHCGs.,Laparoscopic salpingectomy.,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.78,
  ""rationale"": ""She is hemodynamically stable with a 3 cm viable tubal ectopic and only one remaining tube; fertility preservation is paramount. While fetal cardiac activity lowers methotrexate success rates, medical therapy is a reasonable fertility-sparing option, and laparoscopic salpingostomy (ideal) is not provided. Expectant management is inappropriate for a viable ectopic, and laparotomy or salpingectomy are unnecessarily invasive or fertility-ending.""
}",A,,0.78,"She is hemodynamically stable with a 3 cm viable tubal ectopic and only one remaining tube; fertility preservation is paramount. While fetal cardiac activity lowers methotrexate success rates, medical therapy is a reasonable fertility-sparing option, and laparoscopic salpingostomy (ideal) is not provided. Expectant management is inappropriate for a viable ectopic, and laparotomy or salpingectomy are unnecessarily invasive or fertility-ending."
7,0f8bb2eda64f6f179af7336a7d8725db23a3c56125b7a0b910783577f801e9b1,"A 32-year-old man is referred to the renal clinic by his GP after a second episode of gross hematuria. Past history of note includes coeliac disease. On both occasions the hematuria appears to have been closely associated with an upper respiratory tract infection. Blood pressure is 125/80 mmHg. Light microscopy of a renal biopsy specimen reveals diffuse mesangial proliferation and extracellular matrix expansion. Ig A deposits are seen on
immunofluorescence. Which of the following diagnoses fits best with this clinical picture?",Alport’s syndrome,Lupus nephritis,IgA nephropathy,Goodpasture’s syndrome,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.97,
  ""rationale"": ""Recurrent gross hematuria closely following URTIs (“synpharyngitic hematuria”) with renal biopsy showing mesangial proliferation and IgA deposits is classic for IgA nephropathy (Berger disease). The other options have different immunofluorescence patterns and clinical contexts.""
}",C,,0.97,Recurrent gross hematuria closely following URTIs (“synpharyngitic hematuria”) with renal biopsy showing mesangial proliferation and IgA deposits is classic for IgA nephropathy (Berger disease). The other options have different immunofluorescence patterns and clinical contexts.
8,afb2f8a9191b335e5161483e501cc721c7dd45b35df2c85bef435ec930e5ba72,A 26-year-old female comes to the emergency setting following a high-impact blunt trauma. She ishypotensive with large-volume intraperitoneal fluid on ultrasound (FAST). She has received 2 unitsof whole blood but remains hypotensive. Which of the following is true regarding a damage control treatment strategy?,Damage control resuscitation requires that the patient be  hemodynamically stable beforesurgery is undertaken.,Damage control surgery aims to perform the definitive operation that the patient requires asquickly as possible.,"The patient should remain in the emergency or casualty area until she has been stabilized, asthis is the best place for resuscitation.",Damaged control surgery is always performed by an experienced  surgeon,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.78,
  ""rationale"": ""Damage control surgery is intended for unstable patients to rapidly control bleeding/contamination, not to perform definitive repairs. Patients should proceed urgently to the OR rather than waiting in the ED for stabilization. Thus A, B, and C are false, and D is the most appropriate statement.""
}",D,,0.78,"Damage control surgery is intended for unstable patients to rapidly control bleeding/contamination, not to perform definitive repairs. Patients should proceed urgently to the OR rather than waiting in the ED for stabilization. Thus A, B, and C are false, and D is the most appropriate statement."
9,ded60398ca460057abc8708ca47b00a1cec62b89dd1d9ae012a8ffd23ee008bb,"A young medical student has come to you to you with complaints of oligomenorrrhea, hirsuitism and weight gain, ultrasound reveals bulky ovaries with sub-capsular cysts. Most likely diagnosis is: 
",Ovarian cancer.,Cushing's syndrome.,Polycystic ovarian disease.,Diabetes mellitus.,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.97,
  ""rationale"": ""Oligomenorrhea, hirsutism, weight gain, and ultrasound showing bulky ovaries with subcapsular cysts are classic for polycystic ovarian disease (PCOS). Cushing’s can mimic some features but the ovarian ultrasound findings support PCOS. Ovarian cancer and diabetes mellitus do not explain this constellation as well.""
}",C,,0.97,"Oligomenorrhea, hirsutism, weight gain, and ultrasound showing bulky ovaries with subcapsular cysts are classic for polycystic ovarian disease (PCOS). Cushing’s can mimic some features but the ovarian ultrasound findings support PCOS. Ovarian cancer and diabetes mellitus do not explain this constellation as well."
10,8ed48e257b5db221455eda7a329ed405487caab85154651e4c48f357dde7d85d,"32-year-old man comes to the emergency department with an acutely incarcerated inguinal hernia. With sedation, the hernia is reduced and he feels better. Eighteen hours later, he complains of increasing abdominal pain and has diffuse tenderness on examination. He most likely had which of the following?",Epigastric hernia,Amyand’s hernia,Petit’s (lumbar) hernia,Diastasis recti,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.72,
  ""rationale"": ""Delayed diffuse abdominal pain and tenderness after reduction of an acutely incarcerated inguinal hernia suggests an inflamed appendix reduced into the abdomen, consistent with an Amyand’s hernia. The other options do not involve the inguinal canal or would not present with acute incarceration and subsequent peritonitis.""
}",B,,0.72,"Delayed diffuse abdominal pain and tenderness after reduction of an acutely incarcerated inguinal hernia suggests an inflamed appendix reduced into the abdomen, consistent with an Amyand’s hernia. The other options do not involve the inguinal canal or would not present with acute incarceration and subsequent peritonitis."
