row_index,question_id,stem,option_A,option_B,option_C,option_D,llama_raw,llama_choice,llama_abstain_code,llama_confidence,llama_rationale
1,369ee941ab1d2799ffbd6914eb48d8dae7a478d491da8730898f282f90583b9e,A 75-year-old patient has a history of squamous cell carcinoma of the lung that was resected some years ago. He presents with pedal edema. Urinary dipstick showed protein 2+. What is the most likely diagnosis?,Membranous nephropathy,Membranoproliferative glomerulonephritis,Minimal change nephropathy,IgA nephropathy,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The patient's history of squamous cell carcinoma and presentation with proteinuria suggests a paraneoplastic syndrome, and membranous nephropathy is a common cause of nephrotic syndrome associated with malignancy.""
}",A,,0.8,"The patient's history of squamous cell carcinoma and presentation with proteinuria suggests a paraneoplastic syndrome, and membranous nephropathy is a common cause of nephrotic syndrome associated with malignancy."
2,848959a0e225bb21e476a7e0a09a317f9f0230646d2462dbb33c75c5011b1501,"You are asked to see a 10-year-old male emergently. He is having
difficulty breathing and swallowing. He has a fever of 38.5 C and is sitting up and leaning slightly forward on the bed when you arrive. You note that there is swelling in the submental and submandibularregions with protrusion of his tongue. You are concerned about a severe infection in the floor of the mouth. Which of the following is true of this condition?",It is an uncommon presentation of mumps of the submandibular gland.,Airway protection may necessitate a tracheostomy,. It is most commonly caused by Staphylococcus aureus.,It usually arises in children as a complication of lymphoma.,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The clinical presentation is suggestive of Ludwig's angina, a severe infection of the floor of the mouth that can cause airway obstruction. Airway protection is critical, and tracheostomy may be necessary in severe cases.""
}",B,,0.9,"The clinical presentation is suggestive of Ludwig's angina, a severe infection of the floor of the mouth that can cause airway obstruction. Airway protection is critical, and tracheostomy may be necessary in severe cases."
3,11ad7562a94a37faa7b23ee173610d9a5e7f19970de667598ffa18486fc2d378,"One of the popular aetiological theories of Schizophrenia is the Neurochemical abnormality hypothesis. According to this hypothesis which of the following may contribute to the development of psychosis ; 
 




",GABA hyperactivity,Glutamate hypoactivity,Dopamine hypoactivity,Serotonin hypoactivity,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The neurochemical abnormality hypothesis of schizophrenia suggests that an imbalance in neurotransmitters contributes to the development of psychosis. Glutamate hypoactivity is associated with schizophrenia as it is thought to lead to excessive dopamine release in certain pathways, contributing to psychotic symptoms.""
}",B,,0.8,"The neurochemical abnormality hypothesis of schizophrenia suggests that an imbalance in neurotransmitters contributes to the development of psychosis. Glutamate hypoactivity is associated with schizophrenia as it is thought to lead to excessive dopamine release in certain pathways, contributing to psychotic symptoms."
4,456170ef51e4e0b2fb5686637a80f3615603ec97aabbd19b0bf4e1ea9859d496,A 36-hour old infant presents with repeated blinking and lip smacking. There was no fever or jaundice. The serum calcium measures 1.2 mmol/l. What of the following is not a likely aetiological factor?,Hypoglycaemia,Perinatal asphyxia,Maternal diabetes,Early-Onset Sepsis,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The infant's symptoms suggest neonatal seizures, and the low serum calcium indicates hypocalcemia, which is associated with conditions like hypoglycaemia, perinatal asphyxia, and maternal diabetes. Early-Onset Sepsis is less directly linked to hypocalcemia as a primary cause.""
}",D,,0.8,"The infant's symptoms suggest neonatal seizures, and the low serum calcium indicates hypocalcemia, which is associated with conditions like hypoglycaemia, perinatal asphyxia, and maternal diabetes. Early-Onset Sepsis is less directly linked to hypocalcemia as a primary cause."
5,8598af64fdb3213981ac1621a8cd549f7139b8d227ed0e308d076d203d395dd1,"IGF-I is a potent growth & differentiation factor. Peripheral tissue IGF-I exerts local paracrine actions that appear to be both dependent and independent of GH. The major source of circulating IGF-I is from?





",Pancreas,Liver,Heart,Muscle,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The liver is known to be the primary source of circulating IGF-I, which is mainly produced in response to growth hormone (GH) stimulation.""
}",B,,0.9,"The liver is known to be the primary source of circulating IGF-I, which is mainly produced in response to growth hormone (GH) stimulation."
6,905a6e6073b110eba109a703d58099b0df59216bba177ff127211d39c9759924,"A nineteen-year-old-girl is admitted with pelvic pain, a positive pregnancy test and a 3 cm viable ectopic pregnancy seen in the right fallopian tube on ultrasound. She has already had a left salpingectomy for a previous ectopic. The best management would be:",Methotrexate.,Laparotomy.,Conservative management with serial βHCGs.,Laparoscopic salpingectomy.,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""Given the patient's history of a previous ectopic pregnancy treated with left salpingectomy and now presenting with a 3 cm viable ectopic pregnancy in the right fallopian tube, laparoscopic salpingectomy is the most appropriate management to prevent further complications such as rupture, considering the size of the ectopic and her surgical history.""
}",D,,0.9,"Given the patient's history of a previous ectopic pregnancy treated with left salpingectomy and now presenting with a 3 cm viable ectopic pregnancy in the right fallopian tube, laparoscopic salpingectomy is the most appropriate management to prevent further complications such as rupture, considering the size of the ectopic and her surgical history."
7,0f8bb2eda64f6f179af7336a7d8725db23a3c56125b7a0b910783577f801e9b1,"A 32-year-old man is referred to the renal clinic by his GP after a second episode of gross hematuria. Past history of note includes coeliac disease. On both occasions the hematuria appears to have been closely associated with an upper respiratory tract infection. Blood pressure is 125/80 mmHg. Light microscopy of a renal biopsy specimen reveals diffuse mesangial proliferation and extracellular matrix expansion. Ig A deposits are seen on
immunofluorescence. Which of the following diagnoses fits best with this clinical picture?",Alport’s syndrome,Lupus nephritis,IgA nephropathy,Goodpasture’s syndrome,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's presentation with gross hematuria associated with upper respiratory tract infections, along with the renal biopsy findings of diffuse mesangial proliferation, extracellular matrix expansion, and IgA deposits on immunofluorescence, is characteristic of IgA nephropathy.""
}",C,,0.9,"The patient's presentation with gross hematuria associated with upper respiratory tract infections, along with the renal biopsy findings of diffuse mesangial proliferation, extracellular matrix expansion, and IgA deposits on immunofluorescence, is characteristic of IgA nephropathy."
8,afb2f8a9191b335e5161483e501cc721c7dd45b35df2c85bef435ec930e5ba72,A 26-year-old female comes to the emergency setting following a high-impact blunt trauma. She ishypotensive with large-volume intraperitoneal fluid on ultrasound (FAST). She has received 2 unitsof whole blood but remains hypotensive. Which of the following is true regarding a damage control treatment strategy?,Damage control resuscitation requires that the patient be  hemodynamically stable beforesurgery is undertaken.,Damage control surgery aims to perform the definitive operation that the patient requires asquickly as possible.,"The patient should remain in the emergency or casualty area until she has been stabilized, asthis is the best place for resuscitation.",Damaged control surgery is always performed by an experienced  surgeon,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.0,
  ""rationale"": ""All the given options are incorrect regarding damage control treatment strategy. Damage control resuscitation is used in unstable patients, damage control surgery is not about performing the definitive operation quickly but rather stabilizing the patient, the patient should be taken to the operating room for damage control surgery, and while ideally performed by an experienced surgeon, the statement is too absolute.""
}",,NO_VALID_OPTION,0.0,"All the given options are incorrect regarding damage control treatment strategy. Damage control resuscitation is used in unstable patients, damage control surgery is not about performing the definitive operation quickly but rather stabilizing the patient, the patient should be taken to the operating room for damage control surgery, and while ideally performed by an experienced surgeon, the statement is too absolute."
9,ded60398ca460057abc8708ca47b00a1cec62b89dd1d9ae012a8ffd23ee008bb,"A young medical student has come to you to you with complaints of oligomenorrrhea, hirsuitism and weight gain, ultrasound reveals bulky ovaries with sub-capsular cysts. Most likely diagnosis is: 
",Ovarian cancer.,Cushing's syndrome.,Polycystic ovarian disease.,Diabetes mellitus.,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The symptoms of oligomenorrhea, hirsutism, and weight gain, along with ultrasound findings of bulky ovaries with sub-capsular cysts, are characteristic of Polycystic Ovarian Disease (PCOD), making it the most likely diagnosis.""
}",C,,0.9,"The symptoms of oligomenorrhea, hirsutism, and weight gain, along with ultrasound findings of bulky ovaries with sub-capsular cysts, are characteristic of Polycystic Ovarian Disease (PCOD), making it the most likely diagnosis."
10,8ed48e257b5db221455eda7a329ed405487caab85154651e4c48f357dde7d85d,"32-year-old man comes to the emergency department with an acutely incarcerated inguinal hernia. With sedation, the hernia is reduced and he feels better. Eighteen hours later, he complains of increasing abdominal pain and has diffuse tenderness on examination. He most likely had which of the following?",Epigastric hernia,Amyand’s hernia,Petit’s (lumbar) hernia,Diastasis recti,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The patient's initial presentation with an acutely incarcerated inguinal hernia that was reduced, followed by increasing abdominal pain and diffuse tenderness, suggests that the hernia may have contained a compromised appendix, characteristic of Amyand's hernia.""
}",B,,0.8,"The patient's initial presentation with an acutely incarcerated inguinal hernia that was reduced, followed by increasing abdominal pain and diffuse tenderness, suggests that the hernia may have contained a compromised appendix, characteristic of Amyand's hernia."
11,e5a27fedf79c3a2209069f7839800ea8c7a2a1e7707c5cf4ff377bfaca63d8f2,"Kwesi Simon Senyo is a 25 year old man whose presented with the father to you at the clinic. His father reports that Kwesi has been a stubborn child since childhood. He would skip school , bully other children , steal from home and sometimes insulted his teachers. Currently he has not been able to stay in school, he has been caught for stealing and scamming people on several occasions. He mostly lies to get money from the parents. He thinks mostly about himself and wouldn’t mind hurting other people to benefit himself. He lacks remorse when he does bad things and is confronted. 
What is the most likely diagnosis for Kwesi’s condition?",Narcissistic personality disorder,Histrionic personality disorder,Avoidant personality disorder,Antisocial personality disorder,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""Kwesi's behavior, including stealing, scamming, lack of remorse, and disregard for others' feelings, aligns with the diagnostic criteria for Antisocial Personality Disorder, which involves a pervasive pattern of disregard for and violation of others' rights.""
}",D,,0.9,"Kwesi's behavior, including stealing, scamming, lack of remorse, and disregard for others' feelings, aligns with the diagnostic criteria for Antisocial Personality Disorder, which involves a pervasive pattern of disregard for and violation of others' rights."
