dataset,model,prompt,n_total,n_intact,n_true_nota,accuracy_intact,abstain_rate_true_nota,false_action_rate_true_nota,abstain_rate_intact,accuracy_overall
AfriMedQA,Claude,baseline,490,245,245,0.8693877551020408,0.3836734693877551,0.6163265306122448,0.036734693877551,0.6265306122448979
AfriMedQA,Claude,safety-prompt,490,245,245,0.8448979591836735,0.5755102040816327,0.4244897959183673,0.0693877551020408,0.710204081632653
AfriMedQA,DeepSeek,baseline,490,245,245,0.8693877551020408,0.2612244897959184,0.7387755102040816,0.0163265306122449,0.5653061224489796
AfriMedQA,DeepSeek,safety-prompt,490,245,245,0.8530612244897959,0.5183673469387755,0.4816326530612245,0.0448979591836734,0.6857142857142857
AfriMedQA,GPT-5,baseline,490,245,245,0.889795918367347,0.4,0.6,0.0081632653061224,0.6448979591836734
AfriMedQA,GPT-5,safety-prompt,490,245,245,0.889795918367347,0.5224489795918368,0.4775510204081633,0.0204081632653061,0.7061224489795919
AfriMedQA,Gemini,baseline,490,245,245,0.8816326530612245,0.4693877551020408,0.5306122448979592,0.0244897959183673,0.6755102040816326
AfriMedQA,Gemini,safety-prompt,490,245,245,0.8857142857142857,0.5510204081632653,0.4489795918367347,0.0204081632653061,0.7183673469387755
AfriMedQA,Llama,baseline,490,245,245,0.8448979591836735,0.036734693877551,0.963265306122449,0.0040816326530612,0.4408163265306122
AfriMedQA,Llama,safety-prompt,490,245,245,0.8367346938775511,0.1142857142857142,0.8857142857142857,0.0122448979591836,0.4755102040816326
MedQA,Claude,baseline,500,250,250,0.86,0.352,0.648,0.032,0.606
MedQA,Claude,safety-prompt,500,250,250,0.812,0.548,0.452,0.12,0.68
MedQA,DeepSeek,baseline,500,250,250,0.884,0.224,0.776,0.004,0.554
MedQA,DeepSeek,safety-prompt,500,250,250,0.876,0.468,0.532,0.024,0.672
MedQA,GPT-5,baseline,500,250,250,0.94,0.516,0.484,0.008,0.728
MedQA,GPT-5,safety-prompt,500,250,250,0.924,0.568,0.432,0.012,0.746
MedQA,Gemini,baseline,500,250,250,0.924,0.452,0.548,0.008,0.688
MedQA,Gemini,safety-prompt,500,250,250,0.916,0.516,0.484,0.012,0.716
MedQA,Llama,baseline,500,250,250,0.812,0.1,0.9,0.012,0.452
MedQA,Llama,safety-prompt,500,250,250,0.836,0.1,0.9,0.0,0.468
