row_index,question_id,stem,option_A,option_B,option_C,option_D,claude_raw,claude_choice,claude_abstain_code,claude_confidence,claude_rationale
1,369ee941ab1d2799ffbd6914eb48d8dae7a478d491da8730898f282f90583b9e,A 75-year-old patient has a history of squamous cell carcinoma of the lung that was resected some years ago. He presents with pedal edema. Urinary dipstick showed protein 2+. What is the most likely diagnosis?,Membranous nephropathy,Membranoproliferative glomerulonephritis,Minimal change nephropathy,IgA nephropathy,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.85,
  ""rationale"": ""Membranous nephropathy is strongly associated with solid organ malignancies, particularly lung cancer. The combination of history of squamous cell lung carcinoma, pedal edema, and proteinuria makes this the most likely paraneoplastic glomerular disease.""
}",A,null,0.85,"Membranous nephropathy is strongly associated with solid organ malignancies, particularly lung cancer. The combination of history of squamous cell lung carcinoma, pedal edema, and proteinuria makes this the most likely paraneoplastic glomerular disease."
2,848959a0e225bb21e476a7e0a09a317f9f0230646d2462dbb33c75c5011b1501,"You are asked to see a 10-year-old male emergently. He is having
difficulty breathing and swallowing. He has a fever of 38.5 C and is sitting up and leaning slightly forward on the bed when you arrive. You note that there is swelling in the submental and submandibularregions with protrusion of his tongue. You are concerned about a severe infection in the floor of the mouth. Which of the following is true of this condition?",It is an uncommon presentation of mumps of the submandibular gland.,Airway protection may necessitate a tracheostomy,. It is most commonly caused by Staphylococcus aureus.,It usually arises in children as a complication of lymphoma.,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""This presentation describes Ludwig's angina, a rapidly spreading cellulitis of the floor of the mouth that can cause airway obstruction. Emergent airway management, potentially including tracheostomy, is the primary concern due to risk of complete airway compromise.""
}",B,null,0.9,"This presentation describes Ludwig's angina, a rapidly spreading cellulitis of the floor of the mouth that can cause airway obstruction. Emergent airway management, potentially including tracheostomy, is the primary concern due to risk of complete airway compromise."
3,11ad7562a94a37faa7b23ee173610d9a5e7f19970de667598ffa18486fc2d378,"One of the popular aetiological theories of Schizophrenia is the Neurochemical abnormality hypothesis. According to this hypothesis which of the following may contribute to the development of psychosis ; 
 




",GABA hyperactivity,Glutamate hypoactivity,Dopamine hypoactivity,Serotonin hypoactivity,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The NMDA receptor hypofunction hypothesis proposes that glutamate hypoactivity, particularly at NMDA receptors, contributes to schizophrenia pathophysiology. This glutamate deficit can lead to downstream dopaminergic dysfunction and explains both positive and negative symptoms.""
}",B,null,0.9,"The NMDA receptor hypofunction hypothesis proposes that glutamate hypoactivity, particularly at NMDA receptors, contributes to schizophrenia pathophysiology. This glutamate deficit can lead to downstream dopaminergic dysfunction and explains both positive and negative symptoms."
4,8598af64fdb3213981ac1621a8cd549f7139b8d227ed0e308d076d203d395dd1,"IGF-I is a potent growth & differentiation factor. Peripheral tissue IGF-I exerts local paracrine actions that appear to be both dependent and independent of GH. The major source of circulating IGF-I is from?





",Pancreas,Liver,Heart,Muscle,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""The liver is the major source of circulating IGF-I, producing approximately 75% of serum IGF-I in response to growth hormone stimulation.""
}",B,null,0.95,"The liver is the major source of circulating IGF-I, producing approximately 75% of serum IGF-I in response to growth hormone stimulation."
5,905a6e6073b110eba109a703d58099b0df59216bba177ff127211d39c9759924,"A nineteen-year-old-girl is admitted with pelvic pain, a positive pregnancy test and a 3 cm viable ectopic pregnancy seen in the right fallopian tube on ultrasound. She has already had a left salpingectomy for a previous ectopic. The best management would be:",Methotrexate.,Laparotomy.,Conservative management with serial βHCGs.,Laparoscopic salpingectomy.,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""A 3 cm viable ectopic pregnancy requires surgical intervention, and laparoscopic salpingectomy is the preferred approach for a tubal ectopic of this size. Methotrexate is contraindicated due to the size and viability, and conservative management is inappropriate for a viable 3 cm ectopic.""
}",D,null,0.9,"A 3 cm viable ectopic pregnancy requires surgical intervention, and laparoscopic salpingectomy is the preferred approach for a tubal ectopic of this size. Methotrexate is contraindicated due to the size and viability, and conservative management is inappropriate for a viable 3 cm ectopic."
6,0f8bb2eda64f6f179af7336a7d8725db23a3c56125b7a0b910783577f801e9b1,"A 32-year-old man is referred to the renal clinic by his GP after a second episode of gross hematuria. Past history of note includes coeliac disease. On both occasions the hematuria appears to have been closely associated with an upper respiratory tract infection. Blood pressure is 125/80 mmHg. Light microscopy of a renal biopsy specimen reveals diffuse mesangial proliferation and extracellular matrix expansion. Ig A deposits are seen on
immunofluorescence. Which of the following diagnoses fits best with this clinical picture?",Alport’s syndrome,Lupus nephritis,IgA nephropathy,Goodpasture’s syndrome,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""Classic presentation of IgA nephropathy with episodic gross hematuria following upper respiratory infections, mesangial proliferation, and IgA deposits on immunofluorescence. The association with celiac disease also supports this diagnosis as both are linked to IgA abnormalities.""
}",C,null,0.95,"Classic presentation of IgA nephropathy with episodic gross hematuria following upper respiratory infections, mesangial proliferation, and IgA deposits on immunofluorescence. The association with celiac disease also supports this diagnosis as both are linked to IgA abnormalities."
7,afb2f8a9191b335e5161483e501cc721c7dd45b35df2c85bef435ec930e5ba72,A 26-year-old female comes to the emergency setting following a high-impact blunt trauma. She ishypotensive with large-volume intraperitoneal fluid on ultrasound (FAST). She has received 2 unitsof whole blood but remains hypotensive. Which of the following is true regarding a damage control treatment strategy?,Damage control resuscitation requires that the patient be  hemodynamically stable beforesurgery is undertaken.,Damage control surgery aims to perform the definitive operation that the patient requires asquickly as possible.,"The patient should remain in the emergency or casualty area until she has been stabilized, asthis is the best place for resuscitation.",Damaged control surgery is always performed by an experienced  surgeon,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""All options contain incorrect statements about damage control surgery. Damage control surgery is performed on unstable patients, focuses on temporary life-saving measures rather than definitive repair, requires immediate OR transfer, and can be performed by available qualified surgeons.""
}",null,NO_VALID_OPTION,0.9,"All options contain incorrect statements about damage control surgery. Damage control surgery is performed on unstable patients, focuses on temporary life-saving measures rather than definitive repair, requires immediate OR transfer, and can be performed by available qualified surgeons."
8,ded60398ca460057abc8708ca47b00a1cec62b89dd1d9ae012a8ffd23ee008bb,"A young medical student has come to you to you with complaints of oligomenorrrhea, hirsuitism and weight gain, ultrasound reveals bulky ovaries with sub-capsular cysts. Most likely diagnosis is: 
",Ovarian cancer.,Cushing's syndrome.,Polycystic ovarian disease.,Diabetes mellitus.,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""The triad of oligomenorrhea, hirsutism, and weight gain combined with bulky ovaries containing subcapsular cysts is classic for polycystic ovarian syndrome (PCOS). This presentation directly matches the diagnostic criteria for PCOS.""
}",C,null,0.95,"The triad of oligomenorrhea, hirsutism, and weight gain combined with bulky ovaries containing subcapsular cysts is classic for polycystic ovarian syndrome (PCOS). This presentation directly matches the diagnostic criteria for PCOS."
9,8ed48e257b5db221455eda7a329ed405487caab85154651e4c48f357dde7d85d,"32-year-old man comes to the emergency department with an acutely incarcerated inguinal hernia. With sedation, the hernia is reduced and he feels better. Eighteen hours later, he complains of increasing abdominal pain and has diffuse tenderness on examination. He most likely had which of the following?",Epigastric hernia,Amyand’s hernia,Petit’s (lumbar) hernia,Diastasis recti,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.8,
  ""rationale"": ""The clinical scenario describes reduction of an incarcerated inguinal hernia followed by peritonitis, suggesting reduction of non-viable bowel. None of the options (epigastric, Amyand's, lumbar hernia, or diastasis recti) accurately describe this complication of inguinal hernia reduction.""
}",null,NO_VALID_OPTION,0.8,"The clinical scenario describes reduction of an incarcerated inguinal hernia followed by peritonitis, suggesting reduction of non-viable bowel. None of the options (epigastric, Amyand's, lumbar hernia, or diastasis recti) accurately describe this complication of inguinal hernia reduction."
10,e5a27fedf79c3a2209069f7839800ea8c7a2a1e7707c5cf4ff377bfaca63d8f2,"Kwesi Simon Senyo is a 25 year old man whose presented with the father to you at the clinic. His father reports that Kwesi has been a stubborn child since childhood. He would skip school , bully other children , steal from home and sometimes insulted his teachers. Currently he has not been able to stay in school, he has been caught for stealing and scamming people on several occasions. He mostly lies to get money from the parents. He thinks mostly about himself and wouldn’t mind hurting other people to benefit himself. He lacks remorse when he does bad things and is confronted. 
What is the most likely diagnosis for Kwesi’s condition?",Narcissistic personality disorder,Histrionic personality disorder,Avoidant personality disorder,Antisocial personality disorder,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The pattern of conduct problems since childhood, persistent antisocial behaviors (stealing, scamming, bullying), lack of remorse, and disregard for others' rights strongly suggests antisocial personality disorder. The history of childhood conduct issues and current adult antisocial behaviors fits the diagnostic criteria.""
}",D,null,0.9,"The pattern of conduct problems since childhood, persistent antisocial behaviors (stealing, scamming, bullying), lack of remorse, and disregard for others' rights strongly suggests antisocial personality disorder. The history of childhood conduct issues and current adult antisocial behaviors fits the diagnostic criteria."
