row_index,question_id,stem,option_A,option_B,option_C,option_D,gpt5_raw,gpt5_choice,gpt5_abstain_code,gpt5_confidence,gpt5_rationale
1,369ee941ab1d2799ffbd6914eb48d8dae7a478d491da8730898f282f90583b9e,A 75-year-old patient has a history of squamous cell carcinoma of the lung that was resected some years ago. He presents with pedal edema. Urinary dipstick showed protein 2+. What is the most likely diagnosis?,Membranous nephropathy,Membranoproliferative glomerulonephritis,Minimal change nephropathy,IgA nephropathy,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""Membranous nephropathy is the most likely diagnosis due to its association with malignancies, such as lung cancer, which can present with nephrotic syndrome including proteinuria and edema. This patient's history of squamous cell carcinoma and current symptoms align with this condition more than the other options, which are less commonly linked to paraneoplastic syndromes.""
}",A,,0.8,"Membranous nephropathy is the most likely diagnosis due to its association with malignancies, such as lung cancer, which can present with nephrotic syndrome including proteinuria and edema. This patient's history of squamous cell carcinoma and current symptoms align with this condition more than the other options, which are less commonly linked to paraneoplastic syndromes."
2,848959a0e225bb21e476a7e0a09a317f9f0230646d2462dbb33c75c5011b1501,"You are asked to see a 10-year-old male emergently. He is having
difficulty breathing and swallowing. He has a fever of 38.5 C and is sitting up and leaning slightly forward on the bed when you arrive. You note that there is swelling in the submental and submandibularregions with protrusion of his tongue. You are concerned about a severe infection in the floor of the mouth. Which of the following is true of this condition?",It is an uncommon presentation of mumps of the submandibular gland.,Airway protection may necessitate a tracheostomy,. It is most commonly caused by Staphylococcus aureus.,It usually arises in children as a complication of lymphoma.,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The clinical presentation suggests Ludwig's angina, a severe infection of the floor of the mouth, often involving swelling and airway compromise. Airway protection, potentially via tracheostomy, is a critical consideration in severe cases due to the risk of obstruction.""
}",B,,0.9,"The clinical presentation suggests Ludwig's angina, a severe infection of the floor of the mouth, often involving swelling and airway compromise. Airway protection, potentially via tracheostomy, is a critical consideration in severe cases due to the risk of obstruction."
3,11ad7562a94a37faa7b23ee173610d9a5e7f19970de667598ffa18486fc2d378,"One of the popular aetiological theories of Schizophrenia is the Neurochemical abnormality hypothesis. According to this hypothesis which of the following may contribute to the development of psychosis ; 
 




",GABA hyperactivity,Glutamate hypoactivity,Dopamine hypoactivity,Serotonin hypoactivity,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The neurochemical hypothesis of schizophrenia often involves dysregulation of multiple neurotransmitters, including glutamate. Glutamate hypoactivity, particularly through NMDA receptor hypofunction, is a recognized theory linked to psychotic symptoms. This aligns with current research on the excitatory-inhibitory imbalance in schizophrenia.""
}",B,,0.9,"The neurochemical hypothesis of schizophrenia often involves dysregulation of multiple neurotransmitters, including glutamate. Glutamate hypoactivity, particularly through NMDA receptor hypofunction, is a recognized theory linked to psychotic symptoms. This aligns with current research on the excitatory-inhibitory imbalance in schizophrenia."
4,456170ef51e4e0b2fb5686637a80f3615603ec97aabbd19b0bf4e1ea9859d496,A 36-hour old infant presents with repeated blinking and lip smacking. There was no fever or jaundice. The serum calcium measures 1.2 mmol/l. What of the following is not a likely aetiological factor?,Hypoglycaemia,Perinatal asphyxia,Maternal diabetes,Early-Onset Sepsis,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The infant's symptoms of repeated blinking and lip smacking, along with hypocalcemia (serum calcium 1.2 mmol/L), suggest neonatal seizures likely due to hypocalcemia. While hypoglycemia, perinatal asphyxia, and early-onset sepsis are common causes of neonatal seizures, maternal diabetes is less directly linked to hypocalcemia or seizures unless associated with other metabolic disturbances like hypoglycemia, which is not indicated here.""
}",C,,0.8,"The infant's symptoms of repeated blinking and lip smacking, along with hypocalcemia (serum calcium 1.2 mmol/L), suggest neonatal seizures likely due to hypocalcemia. While hypoglycemia, perinatal asphyxia, and early-onset sepsis are common causes of neonatal seizures, maternal diabetes is less directly linked to hypocalcemia or seizures unless associated with other metabolic disturbances like hypoglycemia, which is not indicated here."
5,8598af64fdb3213981ac1621a8cd549f7139b8d227ed0e308d076d203d395dd1,"IGF-I is a potent growth & differentiation factor. Peripheral tissue IGF-I exerts local paracrine actions that appear to be both dependent and independent of GH. The major source of circulating IGF-I is from?





",Pancreas,Liver,Heart,Muscle,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The liver is the primary source of circulating IGF-I, producing the majority under the influence of growth hormone (GH). This is well-established in endocrine physiology.""
}",B,,0.9,"The liver is the primary source of circulating IGF-I, producing the majority under the influence of growth hormone (GH). This is well-established in endocrine physiology."
6,905a6e6073b110eba109a703d58099b0df59216bba177ff127211d39c9759924,"A nineteen-year-old-girl is admitted with pelvic pain, a positive pregnancy test and a 3 cm viable ectopic pregnancy seen in the right fallopian tube on ultrasound. She has already had a left salpingectomy for a previous ectopic. The best management would be:",Methotrexate.,Laparotomy.,Conservative management with serial βHCGs.,Laparoscopic salpingectomy.,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""Methotrexate is the preferred management for a stable patient with a viable ectopic pregnancy of 3 cm, especially to preserve the remaining fallopian tube after a previous salpingectomy. This approach avoids surgical risks and offers a chance for future fertility.""
}",A,,0.9,"Methotrexate is the preferred management for a stable patient with a viable ectopic pregnancy of 3 cm, especially to preserve the remaining fallopian tube after a previous salpingectomy. This approach avoids surgical risks and offers a chance for future fertility."
7,0f8bb2eda64f6f179af7336a7d8725db23a3c56125b7a0b910783577f801e9b1,"A 32-year-old man is referred to the renal clinic by his GP after a second episode of gross hematuria. Past history of note includes coeliac disease. On both occasions the hematuria appears to have been closely associated with an upper respiratory tract infection. Blood pressure is 125/80 mmHg. Light microscopy of a renal biopsy specimen reveals diffuse mesangial proliferation and extracellular matrix expansion. Ig A deposits are seen on
immunofluorescence. Which of the following diagnoses fits best with this clinical picture?",Alport’s syndrome,Lupus nephritis,IgA nephropathy,Goodpasture’s syndrome,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The clinical presentation of recurrent gross hematuria associated with upper respiratory tract infections, along with renal biopsy findings of mesangial proliferation and IgA deposits on immunofluorescence, is highly characteristic of IgA nephropathy. This diagnosis aligns with the patient's history and biopsy results.""
}",C,,0.9,"The clinical presentation of recurrent gross hematuria associated with upper respiratory tract infections, along with renal biopsy findings of mesangial proliferation and IgA deposits on immunofluorescence, is highly characteristic of IgA nephropathy. This diagnosis aligns with the patient's history and biopsy results."
8,afb2f8a9191b335e5161483e501cc721c7dd45b35df2c85bef435ec930e5ba72,A 26-year-old female comes to the emergency setting following a high-impact blunt trauma. She ishypotensive with large-volume intraperitoneal fluid on ultrasound (FAST). She has received 2 unitsof whole blood but remains hypotensive. Which of the following is true regarding a damage control treatment strategy?,Damage control resuscitation requires that the patient be  hemodynamically stable beforesurgery is undertaken.,Damage control surgery aims to perform the definitive operation that the patient requires asquickly as possible.,"The patient should remain in the emergency or casualty area until she has been stabilized, asthis is the best place for resuscitation.",Damaged control surgery is always performed by an experienced  surgeon,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.0,
  ""rationale"": ""None of the provided options accurately reflect the principles of damage control strategy in trauma. Damage control resuscitation and surgery prioritize rapid control of bleeding and contamination over definitive repair in unstable patients, often involving temporary measures and delayed definitive surgery, which is not clearly represented in the choices.""
}",null,NO_VALID_OPTION,0.0,"None of the provided options accurately reflect the principles of damage control strategy in trauma. Damage control resuscitation and surgery prioritize rapid control of bleeding and contamination over definitive repair in unstable patients, often involving temporary measures and delayed definitive surgery, which is not clearly represented in the choices."
9,ded60398ca460057abc8708ca47b00a1cec62b89dd1d9ae012a8ffd23ee008bb,"A young medical student has come to you to you with complaints of oligomenorrrhea, hirsuitism and weight gain, ultrasound reveals bulky ovaries with sub-capsular cysts. Most likely diagnosis is: 
",Ovarian cancer.,Cushing's syndrome.,Polycystic ovarian disease.,Diabetes mellitus.,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The clinical presentation of oligomenorrhea, hirsutism, and weight gain, combined with ultrasound findings of bulky ovaries with sub-capsular cysts, is highly suggestive of Polycystic Ovarian Syndrome (PCOS). This condition is characterized by hormonal imbalance and ovarian dysfunction, aligning with the described symptoms and imaging findings.""
}",C,,0.9,"The clinical presentation of oligomenorrhea, hirsutism, and weight gain, combined with ultrasound findings of bulky ovaries with sub-capsular cysts, is highly suggestive of Polycystic Ovarian Syndrome (PCOS). This condition is characterized by hormonal imbalance and ovarian dysfunction, aligning with the described symptoms and imaging findings."
10,8ed48e257b5db221455eda7a329ed405487caab85154651e4c48f357dde7d85d,"32-year-old man comes to the emergency department with an acutely incarcerated inguinal hernia. With sedation, the hernia is reduced and he feels better. Eighteen hours later, he complains of increasing abdominal pain and has diffuse tenderness on examination. He most likely had which of the following?",Epigastric hernia,Amyand’s hernia,Petit’s (lumbar) hernia,Diastasis recti,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""The clinical presentation suggests possible complications from the reduced inguinal hernia, such as strangulation or bowel injury. None of the provided options (A–D) relate to complications or conditions directly associated with an incarcerated inguinal hernia or its reduction.""
}",null,NO_VALID_OPTION,0.9,"The clinical presentation suggests possible complications from the reduced inguinal hernia, such as strangulation or bowel injury. None of the provided options (A–D) relate to complications or conditions directly associated with an incarcerated inguinal hernia or its reduction."
