file,model,n_total,n_correct,n_abstain,n_answered,accuracy_overall,accuracy_answered_only,abstain_rate
claude_baseline_judge.csv,claude,50,38,2,48,0.76,0.7916666666666666,0.04
claude_doublecheck_judge.csv,claude,50,36,2,48,0.72,0.75,0.04
claude_safety_judge.csv,claude,50,36,1,49,0.72,0.7346938775510204,0.02
claude_think_judge.csv,claude,50,35,4,46,0.7,0.7608695652173914,0.08
deepseek_baseline_judge.csv,deepseek,50,38,1,49,0.76,0.7755102040816326,0.02
deepseek_doublecheck_judge.csv,deepseek,50,38,3,47,0.76,0.8085106382978723,0.06
deepseek_safety_judge.csv,deepseek,50,40,4,46,0.8,0.8695652173913043,0.08
deepseek_think_judge.csv,deepseek,50,37,3,47,0.74,0.7872340425531915,0.06
gemini_baseline_judge.csv,gemini,50,39,0,50,0.78,0.78,0.0
gemini_doublecheck_judge.csv,gemini,50,38,1,49,0.76,0.7755102040816326,0.02
gemini_safety_judge.csv,gemini,50,38,1,49,0.76,0.7755102040816326,0.02
gemini_think_judge.csv,gemini,50,39,2,48,0.78,0.8125,0.04
gpt_baseline_judge.csv,gpt,50,41,5,45,0.82,0.9111111111111111,0.1
gpt_doublecheck_judge.csv,gpt,50,40,6,44,0.8,0.9090909090909091,0.12
gpt_safety_judge.csv,gpt,50,42,6,44,0.84,0.9545454545454546,0.12
gpt_think_judge.csv,gpt,50,42,6,44,0.84,0.9545454545454546,0.12
llama_baseline_judge.csv,llama,50,36,0,50,0.72,0.72,0.0
llama_doublecheck_judge.csv,llama,50,36,0,50,0.72,0.72,0.0
llama_safety_judge.csv,llama,50,36,0,50,0.72,0.72,0.0
llama_think_judge.csv,llama,50,35,0,50,0.7,0.7,0.0
