row_index,question_id,stem,option_A,option_B,option_C,option_D,gemini_raw,gemini_choice,gemini_abstain_code,gemini_confidence,gemini_rationale
1,1,"Three days after admission to the intensive care unit for septic shock and bacteremia from a urinary tract infection, a 34-year-old woman has persistent hypotension. Her blood cultures are positive for Escherichia coli, for which she has been receiving appropriate antibiotics since admission. She has no history of any serious illness. She does not use illicit drugs. Current medications include norepinephrine, ceftriaxone, and acetaminophen. She appears well. Her temperature is 37.5C (99.5F), heart rate is 96/min, and blood pressure is 85/55 mm Hg. Examination of the back shows costovertebral tenderness bilaterally. Examination of the thyroid gland shows no abnormalities. Laboratory studies show:
  Hospital day 1 Hospital day 3
Leukocyte count 18,500/mm3 10,300/mm3
Hemoglobin 14.1 mg/dL 13.4 mg/dL
Serum
Creatinine 1.4 mg/dL 0.9 mg/dL
Fasting glucose 95 mg/dL 100 mg/dL
TSH   1.8 U/mL
T3, free   0.1 ng/dL
T4, free   0.9 ng/dL
Repeat blood cultures are negative. A chest X-ray shows no abnormalities. Which of the following is the most appropriate treatment?",Bromocriptine,Levothyroxine,Removing toxic drugs,Thiamine therapy,"```json
{
  ""choice"": ""D"",
  ""abstain_code"": null,
  ""confidence"": 0.9,
  ""rationale"": ""The patient has refractory septic shock. Her thyroid function tests are consistent with euthyroid sick syndrome, which reflects the severity of her illness and is not typically treated. Thiamine deficiency can cause refractory shock in septic patients, and empirical treatment is a safe and appropriate intervention in this clinical context.""
}
```",D,,0.9,"The patient has refractory septic shock. Her thyroid function tests are consistent with euthyroid sick syndrome, which reflects the severity of her illness and is not typically treated. Thiamine deficiency can cause refractory shock in septic patients, and empirical treatment is a safe and appropriate intervention in this clinical context."
2,2,"A 22-year-old woman from a rural area who recently discovered she was pregnant is referred for a cardiology consultation due to cyanosis, dyspnea, and a cardiac murmur revealed at the initial prenatal visit. She is gravida 1, para 0 with an estimated gestational age of 19 weeks. She says that the murmur was found in her childhood, and the doctor at that time placed her under observation only. However, she has been lost to follow-up and has not had proper follow up in years. Currently, she complains of dizziness and occasional dyspnea on exertion which has gradually increased during her pregnancy. Prior to her pregnancy, she did not have any symptoms. The vital signs are as follows: blood pressure 125/60 mm Hg, heart rate 81/min, respiratory rate 13/min, and temperature 36.7C (98.0F). Her examination is significant for acrocyanosis and a fixed splitting of S2 and grade 3/6 midsystolic murmur best heard over the left upper sternal border. Which of the following physiological pregnancy changes is causing the change in this patients condition?",Increase in heart rate,Decrease in systemic vascular resistance,Increase in cardiac output,Increase in blood volume,"```json
{
  ""choice"": ""B"",
  ""abstain_code"": null,
  ""confidence"": 0.9,
  ""rationale"": ""The patient's fixed S2 split and murmur suggest an atrial septal defect, while cyanosis indicates a right-to-left shunt (Eisenmenger syndrome). In pregnancy, a physiologic decrease in systemic vascular resistance occurs. This change lowers the pressure in the systemic circulation, which exacerbates the right-to-left shunting of deoxygenated blood and worsens cyanosis.""
}
```",B,,0.9,"The patient's fixed S2 split and murmur suggest an atrial septal defect, while cyanosis indicates a right-to-left shunt (Eisenmenger syndrome). In pregnancy, a physiologic decrease in systemic vascular resistance occurs. This change lowers the pressure in the systemic circulation, which exacerbates the right-to-left shunting of deoxygenated blood and worsens cyanosis."
3,3,"A 22-year-old man from Nepal presents to the emergency department complaining of swelling and pain in his right testicle. The patient states that he just arrived in the United States to live with his wife, with whom he is monogamous. The patient denies painful urination or urethral discharge, but admits that 10 days ago he felt like he had a fever and the right side of his face was swollen and painful. Which of the following is characteristic of the most likely diagnosis?",Preventable by a live attenuated vaccine,Dilation of the pampiniform plexus,Original presentation in the form of a painless chancre,Cause buboes in the inguinal lymph nodes,"```json
{
  ""choice"": ""A"",
  ""abstain_code"": null,
  ""confidence"": 0.95,
  ""rationale"": ""The patient's history of fever and facial swelling (parotitis) followed by testicular pain and swelling (orchitis) is a classic presentation of mumps. Mumps is a viral infection that is preventable with the MMR vaccine, which is a live attenuated vaccine. The lack of urethral symptoms makes a typical STI less likely.""
}
```",A,,0.95,"The patient's history of fever and facial swelling (parotitis) followed by testicular pain and swelling (orchitis) is a classic presentation of mumps. Mumps is a viral infection that is preventable with the MMR vaccine, which is a live attenuated vaccine. The lack of urethral symptoms makes a typical STI less likely."
4,4,"A 25-year-old woman presents to her new family physician for a follow-up appointment. She previously presented with itching, as well as frequent and painful urination. A vaginal swab was taken and sent to the laboratory to confirm the diagnosis. Diplococci were seen on Gram stain and were grown on Thayer-Martin agar. When discussing her infection, the patient says that she uses safe sex practices. Her history is significant for meningitis and for infection with Streptococcus pneumoniae. The physician discusses that the reason behind these infections comes from a defect in the innate immune system. Which of the following best describes the component that is likely deficient in this patient?",Acts as an important opsonin,Degraded by C1 esterase inhibitor,Creates pores in the cell membrane,Induces the alternative complement pathway,"```json
{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""The patient's history of recurrent Neisseria infections (gonorrhea, likely meningitis) is a classic presentation for a deficiency in the terminal complement components (C5-C9). These components form the membrane attack complex (MAC), which kills pathogens by creating pores in their cell membranes.""
}
```",C,,0.95,"The patient's history of recurrent Neisseria infections (gonorrhea, likely meningitis) is a classic presentation for a deficiency in the terminal complement components (C5-C9). These components form the membrane attack complex (MAC), which kills pathogens by creating pores in their cell membranes."
5,5,"A 61-year-old man presents to his primary care provider complaining of abdominal pain and constipation. He reports a 4-day history of steady right lower quadrant pain. He has had one small bowel movement in 4 days. Normally he has a bowel movement once a day. His medical history is notable for poorly controlled hypertension and hyperlipidemia. He takes enalapril, hydrochlorothiazide, aspirin, and atorvastatin. He has a 40 pack-year smoking history and drinks 3-4 beers per day. His diet consists primarily of fast food. His temperature is 101.8F (38.8C), blood pressure is 160/95 mmHg, pulse is 90/min, and respirations are 16/min. A review of the patients medical record reveals colonoscopy results from 1 year ago. Relevant findings included multiple small, pedunculated polyps which were removed, multiple colonic mucosal outpouchings, and no other masses. This patients condition is most strongly associated with which of the following disorders?",Alpha-1-antitrypsin deficiency,Autosomal recessive polycystic kidney disorder,Ehlers-Danlos syndrome,Menetrier disease,"```json
{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.9,
  ""rationale"": ""The patient's colonoscopy finding of 'multiple colonic mucosal outpouchings' describes diverticulosis, and his current symptoms suggest acute diverticulitis. Ehlers-Danlos syndrome, a connective tissue disorder, is a known risk factor for the development of diverticulosis due to weakened colonic walls. The other listed conditions do not have a strong association with diverticular disease.""
}
```",C,,0.9,"The patient's colonoscopy finding of 'multiple colonic mucosal outpouchings' describes diverticulosis, and his current symptoms suggest acute diverticulitis. Ehlers-Danlos syndrome, a connective tissue disorder, is a known risk factor for the development of diverticulosis due to weakened colonic walls. The other listed conditions do not have a strong association with diverticular disease."
6,6,"A 43-year-old man comes to the emergency department with nausea, abdominal discomfort, diarrhea, and progressive perioral numbness for the past 24 hours. 3 days ago, he underwent a total thyroidectomy for treatment of papillary thyroid cancer. His only medication is a multivitamin supplement. He appears fatigued. While measuring the patient's blood pressure, the nurse observes a spasm in the patient's hand. Physical examination shows a well-healing surgical wound on the neck. Which of the following ECG findings are most likely in this patient?",Torsade de pointes,U waves,Peaked T waves,PR prolongation,"```json
{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's presentation with perioral numbness and a positive Trousseau's sign (hand spasm) after a total thyroidectomy is classic for acute hypocalcemia due to iatrogenic hypoparathyroidism. Hypocalcemia prolongs the QT interval on an ECG. This QT prolongation is a major risk factor for developing Torsade de pointes, a specific type of polymorphic ventricular tachycardia.""
}
```",A,,0.9,"The patient's presentation with perioral numbness and a positive Trousseau's sign (hand spasm) after a total thyroidectomy is classic for acute hypocalcemia due to iatrogenic hypoparathyroidism. Hypocalcemia prolongs the QT interval on an ECG. This QT prolongation is a major risk factor for developing Torsade de pointes, a specific type of polymorphic ventricular tachycardia."
7,7,A 39-year-old man presents to the emergency department because of progressively worsening chest pain and nausea that started at a local bar 30 minutes prior. The pain radiates to the epigastric area. He has a 5-year history of untreated hypertension. He has smoked 1 pack of cigarettes daily for the past 5 years and started abusing cocaine 2 weeks before his emergency room visit. The patient is diaphoretic and in marked distress. What should be the first step in management?,Diltiazem,Labetalol,Nitroglycerin,Propranolol,"```json
{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's presentation suggests cocaine-induced acute coronary syndrome, which involves intense coronary vasospasm. Nitroglycerin is a first-line agent that causes coronary vasodilation, directly counteracting this effect and alleviating ischemia. Beta-blockers (Labetalol, Propranolol) are relatively contraindicated due to the risk of unopposed alpha-adrenergic stimulation.""
}
```",C,,0.9,"The patient's presentation suggests cocaine-induced acute coronary syndrome, which involves intense coronary vasospasm. Nitroglycerin is a first-line agent that causes coronary vasodilation, directly counteracting this effect and alleviating ischemia. Beta-blockers (Labetalol, Propranolol) are relatively contraindicated due to the risk of unopposed alpha-adrenergic stimulation."
8,8,"A 24-year-old female presents to the emergency department with a chief complaint of an inability to urinate. She states that this has been one of many symptoms she has experienced lately. At times she has had trouble speaking and has noticed changes in her vision however these episodes occurred over a month ago and have resolved since then. Two days ago she experienced extreme pain in her face that was exacerbated with brushing her teeth and plucking out facial hairs. The patient has no relevant past medical history, however, the patient admits to being sexually abused by her boyfriend for the past year. Her current medications include ibuprofen for menstrual cramps. On physical exam it is noted that leftward gaze results in only the ipsilateral eye gazing leftward. The patient's initial workup is started in the emergency department. Her vital signs are within normal limits and you note a pale and frightened young lady awaiting further care. Which of the following is the best initial test for this patient's chief complaint?",Head MRI,Lumbar puncture,Post void residual volumes,Domestic abuse screening and exploring patient's life stressors,"```json
{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.9,
  ""rationale"": ""The patient's chief complaint is an inability to urinate. The best initial test is to confirm and quantify the urinary retention with a post-void residual volume, which will guide immediate management such as catheterization. While the constellation of symptoms strongly suggests multiple sclerosis, for which an MRI is indicated, addressing the acute presenting complaint is the first priority.""
}
```",C,,0.9,"The patient's chief complaint is an inability to urinate. The best initial test is to confirm and quantify the urinary retention with a post-void residual volume, which will guide immediate management such as catheterization. While the constellation of symptoms strongly suggests multiple sclerosis, for which an MRI is indicated, addressing the acute presenting complaint is the first priority."
9,9,"A 70-year-old man is brought to the physician by his daughter because of increasing forgetfulness over the past 3 years. Initially, he used to forget his children's names or forget to lock the house door. During the past year, he has gotten lost twice while returning from the grocery store and was unable to tell passersby his address. One time, he went to the park with his granddaughter and returned home alone without realizing he had forgotten her. His daughter says that over the past year, he has withdrawn himself from social gatherings and avoids making conversation. He does not sleep well at night. His daughter has hired a helper to cook and clean his home. On mental status examination, he is oriented only to person. He describes his mood as fair. Short- and long-term memory deficits are present. He appears indifferent about his memory lapses and says this is normal for someone his age. The most appropriate initial pharmacotherapy for this patient is a drug that acts on which of the following neurotransmitters?",-aminobutyric acid,Serotonin,Acetylcholine,Glutamate,"```json
{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""The patient's clinical presentation of insidious and progressive cognitive decline is highly suggestive of Alzheimer's disease. First-line pharmacotherapy for mild to moderate Alzheimer's disease consists of cholinesterase inhibitors. These medications work by increasing the levels of acetylcholine in the brain.""
}
```",C,,0.95,The patient's clinical presentation of insidious and progressive cognitive decline is highly suggestive of Alzheimer's disease. First-line pharmacotherapy for mild to moderate Alzheimer's disease consists of cholinesterase inhibitors. These medications work by increasing the levels of acetylcholine in the brain.
10,10,A 55-year-old man with a history of chronic glomerulonephritis due to IgA nephropathy presents to your office with bone pain. Which of the following laboratory findings would you most expect upon analysis of this patient's serum?,"Decreased PTH, increased calcium, increased phosphate, increased calcitriol","Increased PTH, increased calcium, decreased phosphate, decreased calcitriol","Decreased PTH, decreased calcium, increased phosphate, decreased calcitriol","Normal PTH, normal calcium, normal phosphate, normal calcitriol","```json
{
  ""choice"": null,
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""Chronic kidney disease causes decreased phosphate excretion and impaired calcitriol production, leading to hypocalcemia. These changes stimulate the parathyroid glands, resulting in secondary hyperparathyroidism. The expected findings are increased PTH, decreased calcium, increased phosphate, and decreased calcitriol, a combination not present in any of the options.""
}
```",,NO_VALID_OPTION,0.9,"Chronic kidney disease causes decreased phosphate excretion and impaired calcitriol production, leading to hypocalcemia. These changes stimulate the parathyroid glands, resulting in secondary hyperparathyroidism. The expected findings are increased PTH, decreased calcium, increased phosphate, and decreased calcitriol, a combination not present in any of the options."
