row_index,question_id,stem,option_A,option_B,option_C,option_D,llama_raw,llama_choice,llama_abstain_code,llama_confidence,llama_rationale
1,1,"Three days after admission to the intensive care unit for septic shock and bacteremia from a urinary tract infection, a 34-year-old woman has persistent hypotension. Her blood cultures are positive for Escherichia coli, for which she has been receiving appropriate antibiotics since admission. She has no history of any serious illness. She does not use illicit drugs. Current medications include norepinephrine, ceftriaxone, and acetaminophen. She appears well. Her temperature is 37.5C (99.5F), heart rate is 96/min, and blood pressure is 85/55 mm Hg. Examination of the back shows costovertebral tenderness bilaterally. Examination of the thyroid gland shows no abnormalities. Laboratory studies show:
  Hospital day 1 Hospital day 3
Leukocyte count 18,500/mm3 10,300/mm3
Hemoglobin 14.1 mg/dL 13.4 mg/dL
Serum
Creatinine 1.4 mg/dL 0.9 mg/dL
Fasting glucose 95 mg/dL 100 mg/dL
TSH   1.8 U/mL
T3, free   0.1 ng/dL
T4, free   0.9 ng/dL
Repeat blood cultures are negative. A chest X-ray shows no abnormalities. Which of the following is the most appropriate treatment?",Bromocriptine,Levothyroxine,Removing toxic drugs,Thiamine therapy,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.0,
  ""rationale"": ""The patient's laboratory results indicate low free T3 and normal TSH and free T4 levels, suggesting euthyroid sick syndrome, a condition common in critically ill patients. None of the given options directly address the likely cause of her persistent hypotension, which is septic shock. The treatments listed are not directly indicated for her condition.""
}",,NO_VALID_OPTION,0.0,"The patient's laboratory results indicate low free T3 and normal TSH and free T4 levels, suggesting euthyroid sick syndrome, a condition common in critically ill patients. None of the given options directly address the likely cause of her persistent hypotension, which is septic shock. The treatments listed are not directly indicated for her condition."
2,2,"A 22-year-old woman from a rural area who recently discovered she was pregnant is referred for a cardiology consultation due to cyanosis, dyspnea, and a cardiac murmur revealed at the initial prenatal visit. She is gravida 1, para 0 with an estimated gestational age of 19 weeks. She says that the murmur was found in her childhood, and the doctor at that time placed her under observation only. However, she has been lost to follow-up and has not had proper follow up in years. Currently, she complains of dizziness and occasional dyspnea on exertion which has gradually increased during her pregnancy. Prior to her pregnancy, she did not have any symptoms. The vital signs are as follows: blood pressure 125/60 mm Hg, heart rate 81/min, respiratory rate 13/min, and temperature 36.7C (98.0F). Her examination is significant for acrocyanosis and a fixed splitting of S2 and grade 3/6 midsystolic murmur best heard over the left upper sternal border. Which of the following physiological pregnancy changes is causing the change in this patients condition?",Increase in heart rate,Decrease in systemic vascular resistance,Increase in cardiac output,Increase in blood volume,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's symptoms and physical examination findings are suggestive of an atrial septal defect (ASD), given the fixed splitting of S2 and midsystolic murmur. The increase in cardiac output during pregnancy can exacerbate the left-to-right shunt in ASD, leading to increased dyspnea and dizziness.""
}",C,,0.9,"The patient's symptoms and physical examination findings are suggestive of an atrial septal defect (ASD), given the fixed splitting of S2 and midsystolic murmur. The increase in cardiac output during pregnancy can exacerbate the left-to-right shunt in ASD, leading to increased dyspnea and dizziness."
3,3,"A 22-year-old man from Nepal presents to the emergency department complaining of swelling and pain in his right testicle. The patient states that he just arrived in the United States to live with his wife, with whom he is monogamous. The patient denies painful urination or urethral discharge, but admits that 10 days ago he felt like he had a fever and the right side of his face was swollen and painful. Which of the following is characteristic of the most likely diagnosis?",Preventable by a live attenuated vaccine,Dilation of the pampiniform plexus,Original presentation in the form of a painless chancre,Cause buboes in the inguinal lymph nodes,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's symptoms of facial swelling and pain 10 days prior to testicular swelling and pain, along with his recent travel from Nepal, suggest mumps orchitis, a complication of mumps parotitis. Mumps is preventable by a live attenuated vaccine.""
}",A,,0.9,"The patient's symptoms of facial swelling and pain 10 days prior to testicular swelling and pain, along with his recent travel from Nepal, suggest mumps orchitis, a complication of mumps parotitis. Mumps is preventable by a live attenuated vaccine."
4,4,"A 25-year-old woman presents to her new family physician for a follow-up appointment. She previously presented with itching, as well as frequent and painful urination. A vaginal swab was taken and sent to the laboratory to confirm the diagnosis. Diplococci were seen on Gram stain and were grown on Thayer-Martin agar. When discussing her infection, the patient says that she uses safe sex practices. Her history is significant for meningitis and for infection with Streptococcus pneumoniae. The physician discusses that the reason behind these infections comes from a defect in the innate immune system. Which of the following best describes the component that is likely deficient in this patient?",Acts as an important opsonin,Degraded by C1 esterase inhibitor,Creates pores in the cell membrane,Induces the alternative complement pathway,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's infection with Neisseria gonorrhoeae, as indicated by the Gram stain and culture results, along with a history of meningitis and Streptococcus pneumoniae infection, suggests a complement deficiency. The complement component likely deficient is associated with susceptibility to Neisseria infections. The correct answer relates to the complement pathway, specifically the role of C1 esterase inhibitor in regulating the classical pathway, and its connection to the patient's condition is through the understanding that deficiencies in the terminal complement components (C5-C9) are associated with Neisseria infections. However, the most directly related answer is B, as it refers to C1 esterase inhibitor's role in the classical pathway, and a deficiency in a related component (like C2 or C4) or a regulatory issue could be considered, but the direct link is to the terminal components. The best match among the given choices is related to the complement system.""
}",B,,0.9,"The patient's infection with Neisseria gonorrhoeae, as indicated by the Gram stain and culture results, along with a history of meningitis and Streptococcus pneumoniae infection, suggests a complement deficiency. The complement component likely deficient is associated with susceptibility to Neisseria infections. The correct answer relates to the complement pathway, specifically the role of C1 esterase inhibitor in regulating the classical pathway, and its connection to the patient's condition is through the understanding that deficiencies in the terminal complement components (C5-C9) are associated with Neisseria infections. However, the most directly related answer is B, as it refers to C1 esterase inhibitor's role in the classical pathway, and a deficiency in a related component (like C2 or C4) or a regulatory issue could be considered, but the direct link is to the terminal components. The best match among the given choices is related to the complement system."
5,5,"A 61-year-old man presents to his primary care provider complaining of abdominal pain and constipation. He reports a 4-day history of steady right lower quadrant pain. He has had one small bowel movement in 4 days. Normally he has a bowel movement once a day. His medical history is notable for poorly controlled hypertension and hyperlipidemia. He takes enalapril, hydrochlorothiazide, aspirin, and atorvastatin. He has a 40 pack-year smoking history and drinks 3-4 beers per day. His diet consists primarily of fast food. His temperature is 101.8F (38.8C), blood pressure is 160/95 mmHg, pulse is 90/min, and respirations are 16/min. A review of the patients medical record reveals colonoscopy results from 1 year ago. Relevant findings included multiple small, pedunculated polyps which were removed, multiple colonic mucosal outpouchings, and no other masses. This patients condition is most strongly associated with which of the following disorders?",Alpha-1-antitrypsin deficiency,Autosomal recessive polycystic kidney disorder,Ehlers-Danlos syndrome,Menetrier disease,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The patient's symptoms and history, including the presence of colonic mucosal outpouchings (diverticula) on colonoscopy, are most consistent with diverticulosis/diverticulitis. Ehlers-Danlos syndrome is associated with an increased risk of diverticulosis due to its effect on connective tissue integrity.""
}",C,,0.8,"The patient's symptoms and history, including the presence of colonic mucosal outpouchings (diverticula) on colonoscopy, are most consistent with diverticulosis/diverticulitis. Ehlers-Danlos syndrome is associated with an increased risk of diverticulosis due to its effect on connective tissue integrity."
6,6,"A 43-year-old man comes to the emergency department with nausea, abdominal discomfort, diarrhea, and progressive perioral numbness for the past 24 hours. 3 days ago, he underwent a total thyroidectomy for treatment of papillary thyroid cancer. His only medication is a multivitamin supplement. He appears fatigued. While measuring the patient's blood pressure, the nurse observes a spasm in the patient's hand. Physical examination shows a well-healing surgical wound on the neck. Which of the following ECG findings are most likely in this patient?",Torsade de pointes,U waves,Peaked T waves,PR prolongation,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's symptoms and signs, such as perioral numbness and hand spasm after thyroidectomy, suggest hypocalcemia likely due to hypoparathyroidism. Hypocalcemia is associated with peaked T waves on ECG.""
}",C,,0.9,"The patient's symptoms and signs, such as perioral numbness and hand spasm after thyroidectomy, suggest hypocalcemia likely due to hypoparathyroidism. Hypocalcemia is associated with peaked T waves on ECG."
7,8,"A 24-year-old female presents to the emergency department with a chief complaint of an inability to urinate. She states that this has been one of many symptoms she has experienced lately. At times she has had trouble speaking and has noticed changes in her vision however these episodes occurred over a month ago and have resolved since then. Two days ago she experienced extreme pain in her face that was exacerbated with brushing her teeth and plucking out facial hairs. The patient has no relevant past medical history, however, the patient admits to being sexually abused by her boyfriend for the past year. Her current medications include ibuprofen for menstrual cramps. On physical exam it is noted that leftward gaze results in only the ipsilateral eye gazing leftward. The patient's initial workup is started in the emergency department. Her vital signs are within normal limits and you note a pale and frightened young lady awaiting further care. Which of the following is the best initial test for this patient's chief complaint?",Head MRI,Lumbar puncture,Post void residual volumes,Domestic abuse screening and exploring patient's life stressors,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The patient's chief complaint is an inability to urinate, and given her complex neurological symptoms, a urological cause should be initially explored. Post void residual volumes can help assess urinary retention, a plausible cause of her inability to urinate.""
}",C,,0.8,"The patient's chief complaint is an inability to urinate, and given her complex neurological symptoms, a urological cause should be initially explored. Post void residual volumes can help assess urinary retention, a plausible cause of her inability to urinate."
8,9,"A 70-year-old man is brought to the physician by his daughter because of increasing forgetfulness over the past 3 years. Initially, he used to forget his children's names or forget to lock the house door. During the past year, he has gotten lost twice while returning from the grocery store and was unable to tell passersby his address. One time, he went to the park with his granddaughter and returned home alone without realizing he had forgotten her. His daughter says that over the past year, he has withdrawn himself from social gatherings and avoids making conversation. He does not sleep well at night. His daughter has hired a helper to cook and clean his home. On mental status examination, he is oriented only to person. He describes his mood as fair. Short- and long-term memory deficits are present. He appears indifferent about his memory lapses and says this is normal for someone his age. The most appropriate initial pharmacotherapy for this patient is a drug that acts on which of the following neurotransmitters?",#NAME?,Serotonin,Acetylcholine,Glutamate,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's symptoms are consistent with Alzheimer's disease, characterized by progressive memory loss, disorientation, and social withdrawal. The most appropriate initial pharmacotherapy for Alzheimer's disease involves drugs that act on the cholinergic system, such as cholinesterase inhibitors, which increase acetylcholine levels in the brain.""
}",C,,0.9,"The patient's symptoms are consistent with Alzheimer's disease, characterized by progressive memory loss, disorientation, and social withdrawal. The most appropriate initial pharmacotherapy for Alzheimer's disease involves drugs that act on the cholinergic system, such as cholinesterase inhibitors, which increase acetylcholine levels in the brain."
9,10,A 55-year-old man with a history of chronic glomerulonephritis due to IgA nephropathy presents to your office with bone pain. Which of the following laboratory findings would you most expect upon analysis of this patient's serum?,"Decreased PTH, increased calcium, increased phosphate, increased calcitriol","Increased PTH, increased calcium, decreased phosphate, decreased calcitriol","Decreased PTH, decreased calcium, increased phosphate, decreased calcitriol","Normal PTH, normal calcium, normal phosphate, normal calcitriol","{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The patient has chronic glomerulonephritis, likely leading to chronic kidney disease (CKD). In CKD, decreased kidney function results in decreased calcitriol production, increased phosphate, and decreased calcium, which in turn leads to increased PTH. However, option C correctly reflects the initial changes seen in CKD-mineral bone disorder, with decreased calcitriol, increased phosphate, and decreased calcium; PTH is expected to be increased, not decreased, but among the given options, C is the closest representation of the expected biochemical abnormalities.""
}",C,,0.8,"The patient has chronic glomerulonephritis, likely leading to chronic kidney disease (CKD). In CKD, decreased kidney function results in decreased calcitriol production, increased phosphate, and decreased calcium, which in turn leads to increased PTH. However, option C correctly reflects the initial changes seen in CKD-mineral bone disorder, with decreased calcitriol, increased phosphate, and decreased calcium; PTH is expected to be increased, not decreased, but among the given options, C is the closest representation of the expected biochemical abnormalities."
10,11,"A 69-year-old male with a history of metastatic small cell lung carcinoma on chemotherapy presents to his oncologist for a follow-up visit. He has responded well to etoposide and cisplatin with plans to undergo radiation therapy. However, he reports that he recently developed multiple spots all over his body. He denies any overt bleeding from his gums or joint swelling. His past medical history is notable for iron deficiency anemia, osteoarthritis, and paraneoplastic Lambert-Eaton syndrome. He has a 40 pack-year smoking history. His temperature is 98.5F (36.9C), blood pressure is 130/70 mmHg, pulse is 115/min, and respirations are 20/min. On examination, a rash is noted diffusely across the patients trunk and bilateral upper and lower extremities.

Results from a complete blood count are shown below:
Hemoglobin: 11.9 mg/dl
Hematocrit: 35%
Leukocyte count: 5,000/mm^3
Platelet count: 20,000/mm^3

The oncologist would like to continue chemotherapy but is concerned that the above results will limit the optimal dose and frequency of the regimen. A recombinant version of which of the following is most appropriate in this patient?",Interleukin 2,Interleukin 8,Interleukin 11,Erythropoietin,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient has severe thrombocytopenia (platelet count of 20,000/mm^3) likely due to chemotherapy, which is a common side effect. Recombinant Interleukin 11 (oprelvekin) is used to stimulate platelet production and prevent severe thrombocytopenia.""
}",C,,0.9,"The patient has severe thrombocytopenia (platelet count of 20,000/mm^3) likely due to chemotherapy, which is a common side effect. Recombinant Interleukin 11 (oprelvekin) is used to stimulate platelet production and prevent severe thrombocytopenia."
