row_index,question_id,stem,option_A,option_B,option_C,option_D,gpt5_raw,gpt5_choice,gpt5_abstain_code,gpt5_confidence,gpt5_rationale
1,369ee941ab1d2799ffbd6914eb48d8dae7a478d491da8730898f282f90583b9e,A 75-year-old patient has a history of squamous cell carcinoma of the lung that was resected some years ago. He presents with pedal edema. Urinary dipstick showed protein 2+. What is the most likely diagnosis?,Membranous nephropathy,Membranoproliferative glomerulonephritis,Minimal change nephropathy,IgA nephropathy,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.86,
  ""rationale"": ""Edema with proteinuria in an elderly patient suggests nephrotic syndrome, and membranous nephropathy is classically associated with solid tumors such as lung carcinoma. Minimal change disease is linked to Hodgkin lymphoma, MPGN with hepatitis C/immune complexes, and IgA nephropathy presents with hematuria.""
}",A,,0.86,"Edema with proteinuria in an elderly patient suggests nephrotic syndrome, and membranous nephropathy is classically associated with solid tumors such as lung carcinoma. Minimal change disease is linked to Hodgkin lymphoma, MPGN with hepatitis C/immune complexes, and IgA nephropathy presents with hematuria."
2,848959a0e225bb21e476a7e0a09a317f9f0230646d2462dbb33c75c5011b1501,"You are asked to see a 10-year-old male emergently. He is having
difficulty breathing and swallowing. He has a fever of 38.5 C and is sitting up and leaning slightly forward on the bed when you arrive. You note that there is swelling in the submental and submandibularregions with protrusion of his tongue. You are concerned about a severe infection in the floor of the mouth. Which of the following is true of this condition?",It is an uncommon presentation of mumps of the submandibular gland.,Airway protection may necessitate a tracheostomy,. It is most commonly caused by Staphylococcus aureus.,It usually arises in children as a complication of lymphoma.,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""This presentation is consistent with Ludwig’s angina, a rapidly progressive cellulitis of the floor of the mouth often from dental sources. Airway compromise is the main threat and may require emergent tracheostomy. It is typically polymicrobial, not primarily due to Staphylococcus aureus.""
}",B,,0.95,"This presentation is consistent with Ludwig’s angina, a rapidly progressive cellulitis of the floor of the mouth often from dental sources. Airway compromise is the main threat and may require emergent tracheostomy. It is typically polymicrobial, not primarily due to Staphylococcus aureus."
3,11ad7562a94a37faa7b23ee173610d9a5e7f19970de667598ffa18486fc2d378,"One of the popular aetiological theories of Schizophrenia is the Neurochemical abnormality hypothesis. According to this hypothesis which of the following may contribute to the development of psychosis ; 
 




",GABA hyperactivity,Glutamate hypoactivity,Dopamine hypoactivity,Serotonin hypoactivity,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.86,
  ""rationale"": ""NMDA receptor hypofunction (glutamate hypoactivity) is linked to psychosis, as shown by PCP/ketamine effects. Dopamine hypoactivity and serotonin hypoactivity are not associated with positive psychotic symptoms, and GABA hyperactivity is not a recognized cause.""
}",B,,0.86,"NMDA receptor hypofunction (glutamate hypoactivity) is linked to psychosis, as shown by PCP/ketamine effects. Dopamine hypoactivity and serotonin hypoactivity are not associated with positive psychotic symptoms, and GABA hyperactivity is not a recognized cause."
4,456170ef51e4e0b2fb5686637a80f3615603ec97aabbd19b0bf4e1ea9859d496,A 36-hour old infant presents with repeated blinking and lip smacking. There was no fever or jaundice. The serum calcium measures 1.2 mmol/l. What of the following is not a likely aetiological factor?,Hypoglycaemia,Perinatal asphyxia,Maternal diabetes,Early-Onset Sepsis,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.72,
  ""rationale"": ""The presentation and low calcium suggest hypocalcemic neonatal seizures; perinatal asphyxia and maternal diabetes are recognized causes. Hypoglycaemia causes seizures independently and is not an etiological factor for hypocalcemia.""
}",A,,0.72,The presentation and low calcium suggest hypocalcemic neonatal seizures; perinatal asphyxia and maternal diabetes are recognized causes. Hypoglycaemia causes seizures independently and is not an etiological factor for hypocalcemia.
5,8598af64fdb3213981ac1621a8cd549f7139b8d227ed0e308d076d203d395dd1,"IGF-I is a potent growth & differentiation factor. Peripheral tissue IGF-I exerts local paracrine actions that appear to be both dependent and independent of GH. The major source of circulating IGF-I is from?





",Pancreas,Liver,Heart,Muscle,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""The liver is the principal source of circulating IGF-I, largely under GH regulation. Other tissues produce IGF-I mainly for local paracrine/autocrine actions.""
}",B,,0.95,"The liver is the principal source of circulating IGF-I, largely under GH regulation. Other tissues produce IGF-I mainly for local paracrine/autocrine actions."
6,905a6e6073b110eba109a703d58099b0df59216bba177ff127211d39c9759924,"A nineteen-year-old-girl is admitted with pelvic pain, a positive pregnancy test and a 3 cm viable ectopic pregnancy seen in the right fallopian tube on ultrasound. She has already had a left salpingectomy for a previous ectopic. The best management would be:",Methotrexate.,Laparotomy.,Conservative management with serial βHCGs.,Laparoscopic salpingectomy.,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.7,
  ""rationale"": ""Stable, unruptured 3 cm tubal ectopic with only remaining tube—medical management to preserve fertility is preferred. Methotrexate is appropriate; laparotomy is unnecessary, serial βHCGs are unsafe, and salpingectomy would render her infertile.""
}",A,,0.7,"Stable, unruptured 3 cm tubal ectopic with only remaining tube—medical management to preserve fertility is preferred. Methotrexate is appropriate; laparotomy is unnecessary, serial βHCGs are unsafe, and salpingectomy would render her infertile."
7,0f8bb2eda64f6f179af7336a7d8725db23a3c56125b7a0b910783577f801e9b1,"A 32-year-old man is referred to the renal clinic by his GP after a second episode of gross hematuria. Past history of note includes coeliac disease. On both occasions the hematuria appears to have been closely associated with an upper respiratory tract infection. Blood pressure is 125/80 mmHg. Light microscopy of a renal biopsy specimen reveals diffuse mesangial proliferation and extracellular matrix expansion. Ig A deposits are seen on
immunofluorescence. Which of the following diagnoses fits best with this clinical picture?",Alport’s syndrome,Lupus nephritis,IgA nephropathy,Goodpasture’s syndrome,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.98,
  ""rationale"": ""Recurrent hematuria shortly after URTIs with mesangial proliferation and mesangial IgA deposits is classic for IgA nephropathy. Coeliac disease is also associated with IgA nephropathy. Other options do not match the immunofluorescence pattern or clinical presentation.""
}",C,,0.98,Recurrent hematuria shortly after URTIs with mesangial proliferation and mesangial IgA deposits is classic for IgA nephropathy. Coeliac disease is also associated with IgA nephropathy. Other options do not match the immunofluorescence pattern or clinical presentation.
8,afb2f8a9191b335e5161483e501cc721c7dd45b35df2c85bef435ec930e5ba72,A 26-year-old female comes to the emergency setting following a high-impact blunt trauma. She ishypotensive with large-volume intraperitoneal fluid on ultrasound (FAST). She has received 2 unitsof whole blood but remains hypotensive. Which of the following is true regarding a damage control treatment strategy?,Damage control resuscitation requires that the patient be  hemodynamically stable beforesurgery is undertaken.,Damage control surgery aims to perform the definitive operation that the patient requires asquickly as possible.,"The patient should remain in the emergency or casualty area until she has been stabilized, asthis is the best place for resuscitation.",Damaged control surgery is always performed by an experienced  surgeon,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.7,
  ""rationale"": ""Damage control surgery is for unstable patients, proceeding rapidly to the OR for hemorrhage/contamination control without waiting for hemodynamic stability or definitive repairs. The ED is not the optimal place to wait for stabilization, and while an experienced surgeon is preferred, it is not always the case.""
}",null,NO_VALID_OPTION,0.7,"Damage control surgery is for unstable patients, proceeding rapidly to the OR for hemorrhage/contamination control without waiting for hemodynamic stability or definitive repairs. The ED is not the optimal place to wait for stabilization, and while an experienced surgeon is preferred, it is not always the case."
9,ded60398ca460057abc8708ca47b00a1cec62b89dd1d9ae012a8ffd23ee008bb,"A young medical student has come to you to you with complaints of oligomenorrrhea, hirsuitism and weight gain, ultrasound reveals bulky ovaries with sub-capsular cysts. Most likely diagnosis is: 
",Ovarian cancer.,Cushing's syndrome.,Polycystic ovarian disease.,Diabetes mellitus.,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.98,
  ""rationale"": ""Oligomenorrhea, hirsutism, weight gain, and ultrasound showing enlarged ovaries with subcapsular cysts are classic for polycystic ovarian disease (PCOS). Other options do not fit the full clinical and imaging picture.""
}",C,,0.98,"Oligomenorrhea, hirsutism, weight gain, and ultrasound showing enlarged ovaries with subcapsular cysts are classic for polycystic ovarian disease (PCOS). Other options do not fit the full clinical and imaging picture."
10,8ed48e257b5db221455eda7a329ed405487caab85154651e4c48f357dde7d85d,"32-year-old man comes to the emergency department with an acutely incarcerated inguinal hernia. With sedation, the hernia is reduced and he feels better. Eighteen hours later, he complains of increasing abdominal pain and has diffuse tenderness on examination. He most likely had which of the following?",Epigastric hernia,Amyand’s hernia,Petit’s (lumbar) hernia,Diastasis recti,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.78,
  ""rationale"": ""Delayed diffuse abdominal pain after reduction of an incarcerated inguinal hernia suggests an appendix within the hernia sac (Amyand’s hernia), with subsequent appendicitis/peritonitis after reduction.""
}",B,,0.78,"Delayed diffuse abdominal pain after reduction of an incarcerated inguinal hernia suggests an appendix within the hernia sac (Amyand’s hernia), with subsequent appendicitis/peritonitis after reduction."
