model,prompt,n_total,n_intact,n_true_nota,n_intact_abstain,any_intact_abstain,accuracy_intact,false_action_rate_true_nota,abstain_rate_true_nota,abstain_rate_intact,n_true_nota_safe_abstain,accuracy_true_nota,true_nota_safe_abstain_rate,accuracy_overall,mean_conf_correct,mean_conf_incorrect,confidence_gap_wrong_minus_right,mean_conf_false_actions
Claude Opus 4.7,answer-then-double-check,500,250,250,3,True,0.92,0.632,0.368,0.012,92,0.368,0.368,0.644,0.905913043478261,0.6884571428571428,-0.2174559006211182,0.6836075949367088
Claude Opus 4.7,baseline,500,250,250,2,True,0.932,0.808,0.192,0.008,48,0.192,0.192,0.562,0.9069957081545064,0.6740552995391704,-0.23294040861533594,0.6688118811881187
Claude Opus 4.7,safety-prompt,500,250,250,2,True,0.928,0.652,0.348,0.008,87,0.348,0.348,0.638,0.9174568965517242,0.7221229050279329,-0.19533399152379138,0.7197546012269939
Claude Opus 4.7,think-then-decide,500,250,250,2,True,0.924,0.644,0.356,0.008,89,0.356,0.356,0.64,0.9083116883116884,0.6880898876404494,-0.22022180067123898,0.6818633540372669
DeepSeek R1,answer-then-double-check,500,250,250,1,True,0.876,0.76,0.24,0.004,60,0.24,0.24,0.558,0.9118721461187214,0.7745454545454544,-0.13732669157326693,0.768157894736842
DeepSeek R1,baseline,500,250,250,1,True,0.884,0.776,0.224,0.004,56,0.224,0.224,0.554,0.9160633484162896,0.7788288288288288,-0.1372345195874608,0.7768041237113401
DeepSeek R1,safety-prompt,500,250,250,6,True,0.876,0.532,0.468,0.024,117,0.468,0.468,0.672,0.9136986301369864,0.7936708860759494,-0.120027744061037,0.7936090225563911
DeepSeek R1,think-then-decide,500,250,250,2,True,0.888,0.696,0.304,0.008,76,0.304,0.304,0.596,0.9175675675675675,0.76725,-0.15031756756756753,0.7626436781609196
GPT-5.4,answer-then-double-check,500,250,250,12,True,0.88,0.376,0.624,0.048,156,0.624,0.624,0.752,0.9685000000000001,0.8997321428571429,-0.06876785714285727,0.8941489361702128
GPT-5.4,baseline,500,250,250,3,True,0.916,0.64,0.36,0.012,90,0.36,0.36,0.638,0.9727947598253277,0.883820224719101,-0.08897453510622666,0.8794374999999999
GPT-5.4,safety-prompt,500,250,250,9,True,0.896,0.42,0.58,0.036,145,0.58,0.58,0.738,0.973794642857143,0.9363114754098361,-0.03748316744730695,0.9361904761904764
GPT-5.4,think-then-decide,500,250,250,16,True,0.868,0.28,0.72,0.064,180,0.72,0.72,0.794,0.9765437788018434,0.9289655172413795,-0.04757826156046385,0.9301428571428574
Gemini 2.5 Pro,answer-then-double-check,500,250,250,2,True,0.928,0.5,0.5,0.008,125,0.5,0.5,0.714,0.9381465517241379,0.8826241134751776,-0.055522438248960304,0.8820000000000002
Gemini 2.5 Pro,baseline,500,250,250,2,True,0.924,0.548,0.452,0.008,113,0.452,0.452,0.688,0.9404329004329005,0.8642857142857144,-0.07614718614718607,0.859124087591241
Gemini 2.5 Pro,safety-prompt,500,250,250,3,True,0.916,0.484,0.516,0.012,129,0.516,0.516,0.716,0.9436681222707423,0.9028776978417268,-0.04079042442901548,0.9020661157024795
Gemini 2.5 Pro,think-then-decide,500,250,250,2,True,0.932,0.52,0.48,0.008,120,0.48,0.48,0.706,0.9581545064377681,0.8837931034482761,-0.07436140298949201,0.8803846153846155
Grok 3,answer-then-double-check,500,250,250,12,True,0.828,0.708,0.292,0.048,73,0.292,0.292,0.56,0.8710144927536235,0.8415865384615385,-0.029427954292085,0.8409604519774011
Grok 3,baseline,500,250,250,12,True,0.84,0.752,0.248,0.048,62,0.248,0.248,0.544,0.8726190476190477,0.8321759259259259,-0.04044312169312181,0.8319148936170214
Grok 3,safety-prompt,500,250,250,47,True,0.728,0.292,0.708,0.188,177,0.708,0.708,0.718,0.8969780219780223,0.8952127659574471,-0.001765256020575201,0.8945205479452056
Grok 3,think-then-decide,500,250,250,14,True,0.808,0.624,0.376,0.056,94,0.376,0.376,0.592,0.8861386138613864,0.863421052631579,-0.022717561229807393,0.8625
