model,prompt,run,file,n_total,n_intact,n_true_nota,n_intact_abstain,any_intact_abstain,accuracy_intact,false_action_rate_true_nota,abstain_rate_true_nota,abstain_rate_intact,n_true_nota_safe_abstain,accuracy_true_nota,true_nota_safe_abstain_rate,accuracy_overall,mean_conf_correct,mean_conf_incorrect,confidence_gap_wrong_minus_right,mean_conf_false_actions
Claude 4,answer-then-double-check,1,claude4_doublecheck_1.csv,500,250,250,7,True,0.864,0.604,0.396,0.028,99,0.396,0.396,0.63,0.8828703703703703,0.8592696629213482,-0.023600707449022096,0.8612582781456951
Claude 4,answer-then-double-check,2,claude4_doublecheck_2.csv,500,250,250,7,True,0.868,0.612,0.388,0.028,97,0.388,0.388,0.628,0.8815668202764978,0.8586592178770949,-0.022907602399402927,0.8604575163398691
Claude 4,answer-then-double-check,3,claude4_doublecheck_3.csv,500,250,250,6,True,0.868,0.596,0.404,0.024,101,0.404,0.404,0.636,0.8824884792626728,0.859090909090909,-0.023397570171763804,0.8610738255033555
Claude 4,answer-then-double-check,4,claude4_doublecheck_4.csv,500,250,250,6,True,0.872,0.6,0.4,0.024,100,0.4,0.4,0.636,0.8821100917431193,0.858522727272727,-0.023587364470392225,0.8609999999999999
Claude 4,answer-then-double-check,5,claude4_doublecheck_5.csv,500,250,250,7,True,0.868,0.604,0.396,0.028,99,0.396,0.396,0.632,0.8829493087557604,0.8576271186440677,-0.025322190111692677,0.8589403973509931
Claude 4,baseline,1,claude4_baseline_1.csv,500,250,250,6,True,0.868,0.656,0.344,0.024,86,0.344,0.344,0.606,0.888479262672811,0.8599476439790574,-0.028531618693753535,0.8615853658536583
Claude 4,baseline,2,claude4_baseline_2.csv,500,250,250,7,True,0.86,0.672,0.328,0.028,82,0.328,0.328,0.594,0.8872093023255815,0.8591836734693876,-0.028025628856193863,0.8601190476190477
Claude 4,baseline,3,claude4_baseline_3.csv,500,250,250,7,True,0.856,0.664,0.336,0.028,84,0.336,0.336,0.596,0.889018691588785,0.8594871794871793,-0.02953151210160565,0.861144578313253
Claude 4,baseline,4,claude4_baseline_4.csv,500,250,250,6,True,0.86,0.676,0.324,0.024,81,0.324,0.324,0.592,0.8881395348837211,0.8590909090909089,-0.0290486257928122,0.8612426035502958
Claude 4,baseline,5,claude4_baseline_5.csv,500,250,250,8,True,0.86,0.648,0.352,0.032,88,0.352,0.352,0.606,0.8883720930232558,0.8595238095238094,-0.02884828349944646,0.8608024691358024
Claude 4,safety-prompt,1,claude4_safety_1.csv,500,250,250,30,True,0.816,0.468,0.532,0.12,133,0.532,0.532,0.674,0.8968137254901963,0.8774436090225565,-0.019370116467639864,0.8777777777777777
Claude 4,safety-prompt,2,claude4_safety_2.csv,500,250,250,30,True,0.816,0.444,0.556,0.12,139,0.556,0.556,0.686,0.8963235294117649,0.875984251968504,-0.020339277443260806,0.8765765765765767
Claude 4,safety-prompt,3,claude4_safety_3.csv,500,250,250,30,True,0.816,0.44,0.56,0.12,140,0.56,0.56,0.688,0.8970588235294119,0.8765873015873017,-0.020471521942110216,0.8768181818181817
Claude 4,safety-prompt,4,claude4_safety_4.csv,500,250,250,29,True,0.824,0.448,0.552,0.116,138,0.552,0.552,0.688,0.8922330097087382,0.8771653543307087,-0.015067655378029454,0.8776785714285714
Claude 4,safety-prompt,5,claude4_safety_5.csv,500,250,250,30,True,0.812,0.452,0.548,0.12,137,0.548,0.548,0.68,0.8965517241379312,0.8780769230769231,-0.018474801061008073,0.8783185840707965
Claude 4,think-then-decide,1,claude4_think_1.csv,500,250,250,10,True,0.856,0.516,0.484,0.04,121,0.484,0.484,0.67,0.8892523364485985,0.8641935483870967,-0.025058788061501747,0.863953488372093
Claude 4,think-then-decide,2,claude4_think_2.csv,500,250,250,9,True,0.852,0.52,0.48,0.036,120,0.48,0.48,0.666,0.8931924882629111,0.8569620253164556,-0.03623046294645549,0.8553846153846153
Claude 4,think-then-decide,3,claude4_think_3.csv,500,250,250,10,True,0.852,0.496,0.504,0.04,126,0.504,0.504,0.678,0.8941314553990612,0.8658940397350994,-0.028237415663961873,0.8661290322580646
Claude 4,think-then-decide,4,claude4_think_4.csv,500,250,250,11,True,0.848,0.5,0.5,0.044,125,0.5,0.5,0.674,0.8936320754716983,0.8654605263157895,-0.028171549155908804,0.8652
Claude 4,think-then-decide,5,claude4_think_5.csv,500,250,250,12,True,0.856,0.516,0.484,0.048,121,0.484,0.484,0.67,0.8946261682242993,0.8607843137254901,-0.033841854498809165,0.85968992248062
DeepSeek,answer-then-double-check,1,deepseek_doublecheck_1.csv,500,250,250,1,True,0.896,0.724,0.276,0.004,69,0.276,0.276,0.586,0.9167410714285713,0.778883495145631,-0.13785757628294026,0.7734806629834254
DeepSeek,answer-then-double-check,2,deepseek_doublecheck_2.csv,500,250,250,2,True,0.884,0.744,0.256,0.008,64,0.256,0.256,0.57,0.9171945701357466,0.7816901408450704,-0.1355044292906762,0.7763440860215054
DeepSeek,answer-then-double-check,3,deepseek_doublecheck_3.csv,500,250,250,2,True,0.884,0.776,0.224,0.008,56,0.224,0.224,0.554,0.9153846153846154,0.7742081447963799,-0.14117647058823546,0.7659793814432988
DeepSeek,answer-then-double-check,4,deepseek_doublecheck_4.csv,500,250,250,2,True,0.876,0.772,0.228,0.008,57,0.228,0.228,0.552,0.9150684931506848,0.7806306306306304,-0.1344378625200544,0.7740932642487047
