row_index,question_id,stem,option_A,option_B,option_C,option_D,llama_raw,llama_choice,llama_abstain_code,llama_confidence,llama_rationale
1,1,"Three days after admission to the intensive care unit for septic shock and bacteremia from a urinary tract infection, a 34-year-old woman has persistent hypotension. Her blood cultures are positive for Escherichia coli, for which she has been receiving appropriate antibiotics since admission. She has no history of any serious illness. She does not use illicit drugs. Current medications include norepinephrine, ceftriaxone, and acetaminophen. She appears well. Her temperature is 37.5C (99.5F), heart rate is 96/min, and blood pressure is 85/55 mm Hg. Examination of the back shows costovertebral tenderness bilaterally. Examination of the thyroid gland shows no abnormalities. Laboratory studies show:
  Hospital day 1 Hospital day 3
Leukocyte count 18,500/mm3 10,300/mm3
Hemoglobin 14.1 mg/dL 13.4 mg/dL
Serum
Creatinine 1.4 mg/dL 0.9 mg/dL
Fasting glucose 95 mg/dL 100 mg/dL
TSH   1.8 U/mL
T3, free   0.1 ng/dL
T4, free   0.9 ng/dL
Repeat blood cultures are negative. A chest X-ray shows no abnormalities. Which of the following is the most appropriate treatment?",Bromocriptine,Levothyroxine,Removing toxic drugs,Thiamine therapy,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's laboratory results show low levels of free T3 and free T4, indicating hypothyroidism, but the TSH level is within the normal range, which is consistent with euthyroid sick syndrome or non-thyroidal illness syndrome, a condition often seen in critically ill patients. However, given the context of septic shock and the potential for adrenal insufficiency or relative adrenal insufficiency, which can present similarly to hypothyroidism in critically ill patients, and considering the patient's persistent hypotension despite appropriate antibiotic therapy and fluid resuscitation, the most appropriate next step would be to consider thyroid hormone replacement as part of the differential diagnosis for her hypotension, especially since her TSH is at the lower end of normal and she has low free T3 and T4 levels. Levothyroxine (T4) is typically the first choice for thyroid hormone replacement.""
}",B,,0.9,"The patient's laboratory results show low levels of free T3 and free T4, indicating hypothyroidism, but the TSH level is within the normal range, which is consistent with euthyroid sick syndrome or non-thyroidal illness syndrome, a condition often seen in critically ill patients. However, given the context of septic shock and the potential for adrenal insufficiency or relative adrenal insufficiency, which can present similarly to hypothyroidism in critically ill patients, and considering the patient's persistent hypotension despite appropriate antibiotic therapy and fluid resuscitation, the most appropriate next step would be to consider thyroid hormone replacement as part of the differential diagnosis for her hypotension, especially since her TSH is at the lower end of normal and she has low free T3 and T4 levels. Levothyroxine (T4) is typically the first choice for thyroid hormone replacement."
2,2,"A 22-year-old woman from a rural area who recently discovered she was pregnant is referred for a cardiology consultation due to cyanosis, dyspnea, and a cardiac murmur revealed at the initial prenatal visit. She is gravida 1, para 0 with an estimated gestational age of 19 weeks. She says that the murmur was found in her childhood, and the doctor at that time placed her under observation only. However, she has been lost to follow-up and has not had proper follow up in years. Currently, she complains of dizziness and occasional dyspnea on exertion which has gradually increased during her pregnancy. Prior to her pregnancy, she did not have any symptoms. The vital signs are as follows: blood pressure 125/60 mm Hg, heart rate 81/min, respiratory rate 13/min, and temperature 36.7C (98.0F). Her examination is significant for acrocyanosis and a fixed splitting of S2 and grade 3/6 midsystolic murmur best heard over the left upper sternal border. Which of the following physiological pregnancy changes is causing the change in this patients condition?",Increase in heart rate,Decrease in systemic vascular resistance,Increase in cardiac output,Increase in blood volume,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's symptoms of dizziness and dyspnea on exertion have worsened during pregnancy, suggesting that the increased cardiac output associated with pregnancy is exacerbating her underlying cardiac condition, likely an atrial septal defect given the fixed splitting of S2 and the location of the murmur. Increased cardiac output is a well-known physiological change in pregnancy that can worsen symptoms in patients with certain cardiac defects.""
}",C,,0.9,"The patient's symptoms of dizziness and dyspnea on exertion have worsened during pregnancy, suggesting that the increased cardiac output associated with pregnancy is exacerbating her underlying cardiac condition, likely an atrial septal defect given the fixed splitting of S2 and the location of the murmur. Increased cardiac output is a well-known physiological change in pregnancy that can worsen symptoms in patients with certain cardiac defects."
3,3,"A 22-year-old man from Nepal presents to the emergency department complaining of swelling and pain in his right testicle. The patient states that he just arrived in the United States to live with his wife, with whom he is monogamous. The patient denies painful urination or urethral discharge, but admits that 10 days ago he felt like he had a fever and the right side of his face was swollen and painful. Which of the following is characteristic of the most likely diagnosis?",Preventable by a live attenuated vaccine,Dilation of the pampiniform plexus,Original presentation in the form of a painless chancre,Cause buboes in the inguinal lymph nodes,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's symptoms of testicular swelling and pain, combined with a recent history of facial swelling, are suggestive of mumps orchitis, a complication of mumps infection. Mumps can cause inflammation of the testicles, leading to swelling and pain, and is also known to cause parotid gland swelling, which could explain the facial symptoms. The dilation of the pampiniform plexus is associated with conditions that cause testicular swelling, such as orchitis.""
}",B,,0.9,"The patient's symptoms of testicular swelling and pain, combined with a recent history of facial swelling, are suggestive of mumps orchitis, a complication of mumps infection. Mumps can cause inflammation of the testicles, leading to swelling and pain, and is also known to cause parotid gland swelling, which could explain the facial symptoms. The dilation of the pampiniform plexus is associated with conditions that cause testicular swelling, such as orchitis."
4,4,"A 25-year-old woman presents to her new family physician for a follow-up appointment. She previously presented with itching, as well as frequent and painful urination. A vaginal swab was taken and sent to the laboratory to confirm the diagnosis. Diplococci were seen on Gram stain and were grown on Thayer-Martin agar. When discussing her infection, the patient says that she uses safe sex practices. Her history is significant for meningitis and for infection with Streptococcus pneumoniae. The physician discusses that the reason behind these infections comes from a defect in the innate immune system. Which of the following best describes the component that is likely deficient in this patient?",Acts as an important opsonin,Degraded by C1 esterase inhibitor,Creates pores in the cell membrane,Induces the alternative complement pathway,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's history of meningitis and infection with Streptococcus pneumoniae, along with the current presentation, suggests a deficiency in a component of the immune system that is crucial for combating encapsulated bacteria. The description of the patient's infections and the fact that diplococci (likely Neisseria gonorrhoeae) were seen on Gram stain point towards a deficiency in a component that acts as an important opsonin, which helps in the phagocytosis of bacteria. This is consistent with a deficiency in C3 or factors that lead to its activation, but given the options, the one that best fits is related to the function of an opsonin.""
}",A,,0.9,"The patient's history of meningitis and infection with Streptococcus pneumoniae, along with the current presentation, suggests a deficiency in a component of the immune system that is crucial for combating encapsulated bacteria. The description of the patient's infections and the fact that diplococci (likely Neisseria gonorrhoeae) were seen on Gram stain point towards a deficiency in a component that acts as an important opsonin, which helps in the phagocytosis of bacteria. This is consistent with a deficiency in C3 or factors that lead to its activation, but given the options, the one that best fits is related to the function of an opsonin."
5,5,"A 61-year-old man presents to his primary care provider complaining of abdominal pain and constipation. He reports a 4-day history of steady right lower quadrant pain. He has had one small bowel movement in 4 days. Normally he has a bowel movement once a day. His medical history is notable for poorly controlled hypertension and hyperlipidemia. He takes enalapril, hydrochlorothiazide, aspirin, and atorvastatin. He has a 40 pack-year smoking history and drinks 3-4 beers per day. His diet consists primarily of fast food. His temperature is 101.8F (38.8C), blood pressure is 160/95 mmHg, pulse is 90/min, and respirations are 16/min. A review of the patients medical record reveals colonoscopy results from 1 year ago. Relevant findings included multiple small, pedunculated polyps which were removed, multiple colonic mucosal outpouchings, and no other masses. This patients condition is most strongly associated with which of the following disorders?",Alpha-1-antitrypsin deficiency,Autosomal recessive polycystic kidney disorder,Ehlers-Danlos syndrome,Menetrier disease,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The patient's history of multiple colonic mucosal outpouchings, also known as diverticula, and the presence of abdominal pain and constipation, suggests a possible association with Ehlers-Danlos syndrome, which is known to involve gastrointestinal manifestations including diverticulosis. The syndrome is a group of disorders that affect connective tissues supporting the skin, bones, blood vessels, and many other organs and tissues. The patient's other symptoms and history could be related to this condition, although more specific testing would be needed for a definitive diagnosis.""
}",C,,0.8,"The patient's history of multiple colonic mucosal outpouchings, also known as diverticula, and the presence of abdominal pain and constipation, suggests a possible association with Ehlers-Danlos syndrome, which is known to involve gastrointestinal manifestations including diverticulosis. The syndrome is a group of disorders that affect connective tissues supporting the skin, bones, blood vessels, and many other organs and tissues. The patient's other symptoms and history could be related to this condition, although more specific testing would be needed for a definitive diagnosis."
6,6,"A 43-year-old man comes to the emergency department with nausea, abdominal discomfort, diarrhea, and progressive perioral numbness for the past 24 hours. 3 days ago, he underwent a total thyroidectomy for treatment of papillary thyroid cancer. His only medication is a multivitamin supplement. He appears fatigued. While measuring the patient's blood pressure, the nurse observes a spasm in the patient's hand. Physical examination shows a well-healing surgical wound on the neck. Which of the following ECG findings are most likely in this patient?",Torsade de pointes,U waves,Peaked T waves,PR prolongation,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's symptoms of perioral numbness, muscle spasms, and recent history of total thyroidectomy suggest hypocalcemia, a common complication after thyroid surgery due to injury or removal of the parathyroid glands. Hypocalcemia can cause peaked T waves on an ECG. The other options are less likely related to the clinical presentation described.""
}",C,,0.9,"The patient's symptoms of perioral numbness, muscle spasms, and recent history of total thyroidectomy suggest hypocalcemia, a common complication after thyroid surgery due to injury or removal of the parathyroid glands. Hypocalcemia can cause peaked T waves on an ECG. The other options are less likely related to the clinical presentation described."
7,7,A 39-year-old man presents to the emergency department because of progressively worsening chest pain and nausea that started at a local bar 30 minutes prior. The pain radiates to the epigastric area. He has a 5-year history of untreated hypertension. He has smoked 1 pack of cigarettes daily for the past 5 years and started abusing cocaine 2 weeks before his emergency room visit. The patient is diaphoretic and in marked distress. What should be the first step in management?,Diltiazem,Labetalol,Nitroglycerin,Propranolol,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's presentation suggests acute coronary syndrome, possibly related to cocaine use, which can cause coronary artery vasoconstriction. Given the patient's history of untreated hypertension and cocaine abuse, labetalol is a suitable initial choice because it has both alpha- and beta-blocking effects, which can help manage hypertension and reduce the risk of further coronary vasoconstriction without causing significant vasodilation that might be seen with other options.""
}",B,,0.9,"The patient's presentation suggests acute coronary syndrome, possibly related to cocaine use, which can cause coronary artery vasoconstriction. Given the patient's history of untreated hypertension and cocaine abuse, labetalol is a suitable initial choice because it has both alpha- and beta-blocking effects, which can help manage hypertension and reduce the risk of further coronary vasoconstriction without causing significant vasodilation that might be seen with other options."
8,8,"A 24-year-old female presents to the emergency department with a chief complaint of an inability to urinate. She states that this has been one of many symptoms she has experienced lately. At times she has had trouble speaking and has noticed changes in her vision however these episodes occurred over a month ago and have resolved since then. Two days ago she experienced extreme pain in her face that was exacerbated with brushing her teeth and plucking out facial hairs. The patient has no relevant past medical history, however, the patient admits to being sexually abused by her boyfriend for the past year. Her current medications include ibuprofen for menstrual cramps. On physical exam it is noted that leftward gaze results in only the ipsilateral eye gazing leftward. The patient's initial workup is started in the emergency department. Her vital signs are within normal limits and you note a pale and frightened young lady awaiting further care. Which of the following is the best initial test for this patient's chief complaint?",Head MRI,Lumbar puncture,Post void residual volumes,Domestic abuse screening and exploring patient's life stressors,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's chief complaint is an inability to urinate, which suggests a potential urinary retention issue. Measuring post-void residual volumes is a direct and relevant initial test to assess urinary retention and bladder function. While the patient's other symptoms and history are important, the immediate concern is addressing the urinary issue, making option C the most appropriate initial test.""
}",C,,0.9,"The patient's chief complaint is an inability to urinate, which suggests a potential urinary retention issue. Measuring post-void residual volumes is a direct and relevant initial test to assess urinary retention and bladder function. While the patient's other symptoms and history are important, the immediate concern is addressing the urinary issue, making option C the most appropriate initial test."
9,9,"A 70-year-old man is brought to the physician by his daughter because of increasing forgetfulness over the past 3 years. Initially, he used to forget his children's names or forget to lock the house door. During the past year, he has gotten lost twice while returning from the grocery store and was unable to tell passersby his address. One time, he went to the park with his granddaughter and returned home alone without realizing he had forgotten her. His daughter says that over the past year, he has withdrawn himself from social gatherings and avoids making conversation. He does not sleep well at night. His daughter has hired a helper to cook and clean his home. On mental status examination, he is oriented only to person. He describes his mood as fair. Short- and long-term memory deficits are present. He appears indifferent about his memory lapses and says this is normal for someone his age. The most appropriate initial pharmacotherapy for this patient is a drug that acts on which of the following neurotransmitters?",-aminobutyric acid,Serotonin,Acetylcholine,Glutamate,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's symptoms, such as increasing forgetfulness, disorientation, and short- and long-term memory deficits, are indicative of Alzheimer's disease. The most appropriate initial pharmacotherapy for Alzheimer's disease typically involves drugs that act on the acetylcholine neurotransmitter system, such as cholinesterase inhibitors, which help to improve cognitive function by increasing acetylcholine levels in the brain.""
}",C,,0.9,"The patient's symptoms, such as increasing forgetfulness, disorientation, and short- and long-term memory deficits, are indicative of Alzheimer's disease. The most appropriate initial pharmacotherapy for Alzheimer's disease typically involves drugs that act on the acetylcholine neurotransmitter system, such as cholinesterase inhibitors, which help to improve cognitive function by increasing acetylcholine levels in the brain."
10,10,A 55-year-old man with a history of chronic glomerulonephritis due to IgA nephropathy presents to your office with bone pain. Which of the following laboratory findings would you most expect upon analysis of this patient's serum?,"Decreased PTH, increased calcium, increased phosphate, increased calcitriol","Increased PTH, increased calcium, decreased phosphate, decreased calcitriol","Decreased PTH, decreased calcium, increased phosphate, decreased calcitriol","Normal PTH, normal calcium, normal phosphate, normal calcitriol","{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The patient's history of chronic glomerulonephritis due to IgA nephropathy suggests chronic kidney disease, which can lead to secondary hyperparathyroidism. This condition is characterized by increased parathyroid hormone (PTH) levels, often with increased calcium levels, decreased phosphate levels due to PTH's effect on phosphate excretion, and decreased calcitriol levels due to impaired kidney function affecting vitamin D activation.""
}",B,,0.8,"The patient's history of chronic glomerulonephritis due to IgA nephropathy suggests chronic kidney disease, which can lead to secondary hyperparathyroidism. This condition is characterized by increased parathyroid hormone (PTH) levels, often with increased calcium levels, decreased phosphate levels due to PTH's effect on phosphate excretion, and decreased calcitriol levels due to impaired kidney function affecting vitamin D activation."
