row_index,question_id,stem,option_A,option_B,option_C,option_D,gpt5_raw,gpt5_choice,gpt5_abstain_code,gpt5_confidence,gpt5_rationale
1,1,"Three days after admission to the intensive care unit for septic shock and bacteremia from a urinary tract infection, a 34-year-old woman has persistent hypotension. Her blood cultures are positive for Escherichia coli, for which she has been receiving appropriate antibiotics since admission. She has no history of any serious illness. She does not use illicit drugs. Current medications include norepinephrine, ceftriaxone, and acetaminophen. She appears well. Her temperature is 37.5C (99.5F), heart rate is 96/min, and blood pressure is 85/55 mm Hg. Examination of the back shows costovertebral tenderness bilaterally. Examination of the thyroid gland shows no abnormalities. Laboratory studies show:
  Hospital day 1 Hospital day 3
Leukocyte count 18,500/mm3 10,300/mm3
Hemoglobin 14.1 mg/dL 13.4 mg/dL
Serum
Creatinine 1.4 mg/dL 0.9 mg/dL
Fasting glucose 95 mg/dL 100 mg/dL
TSH   1.8 U/mL
T3, free   0.1 ng/dL
T4, free   0.9 ng/dL
Repeat blood cultures are negative. A chest X-ray shows no abnormalities. Which of the following is the most appropriate treatment?",Bromocriptine,Levothyroxine,Removing toxic drugs,Thiamine therapy,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The patient has persistent hypotension despite appropriate antibiotic treatment for septic shock, and lab results show low free T3 and normal TSH, suggestive of euthyroid sick syndrome or possible secondary hypothyroidism. Levothyroxine may be considered to support thyroid function in critical illness, though its use is controversial. This option aligns best with the clinical picture compared to the other choices.""
}",B,,0.8,"The patient has persistent hypotension despite appropriate antibiotic treatment for septic shock, and lab results show low free T3 and normal TSH, suggestive of euthyroid sick syndrome or possible secondary hypothyroidism. Levothyroxine may be considered to support thyroid function in critical illness, though its use is controversial. This option aligns best with the clinical picture compared to the other choices."
2,2,"A 22-year-old woman from a rural area who recently discovered she was pregnant is referred for a cardiology consultation due to cyanosis, dyspnea, and a cardiac murmur revealed at the initial prenatal visit. She is gravida 1, para 0 with an estimated gestational age of 19 weeks. She says that the murmur was found in her childhood, and the doctor at that time placed her under observation only. However, she has been lost to follow-up and has not had proper follow up in years. Currently, she complains of dizziness and occasional dyspnea on exertion which has gradually increased during her pregnancy. Prior to her pregnancy, she did not have any symptoms. The vital signs are as follows: blood pressure 125/60 mm Hg, heart rate 81/min, respiratory rate 13/min, and temperature 36.7C (98.0F). Her examination is significant for acrocyanosis and a fixed splitting of S2 and grade 3/6 midsystolic murmur best heard over the left upper sternal border. Which of the following physiological pregnancy changes is causing the change in this patients condition?",Increase in heart rate,Decrease in systemic vascular resistance,Increase in cardiac output,Increase in blood volume,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""This patient likely has an atrial septal defect (ASD) given the history of a murmur in childhood, fixed splitting of S2, and midsystolic murmur at the left upper sternal border. The increase in blood volume during pregnancy exacerbates the left-to-right shunt in ASD, worsening cyanosis and dyspnea due to increased pulmonary blood flow and potential right heart strain.""
}",D,,0.9,"This patient likely has an atrial septal defect (ASD) given the history of a murmur in childhood, fixed splitting of S2, and midsystolic murmur at the left upper sternal border. The increase in blood volume during pregnancy exacerbates the left-to-right shunt in ASD, worsening cyanosis and dyspnea due to increased pulmonary blood flow and potential right heart strain."
3,3,"A 22-year-old man from Nepal presents to the emergency department complaining of swelling and pain in his right testicle. The patient states that he just arrived in the United States to live with his wife, with whom he is monogamous. The patient denies painful urination or urethral discharge, but admits that 10 days ago he felt like he had a fever and the right side of his face was swollen and painful. Which of the following is characteristic of the most likely diagnosis?",Preventable by a live attenuated vaccine,Dilation of the pampiniform plexus,Original presentation in the form of a painless chancre,Cause buboes in the inguinal lymph nodes,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's history of fever and facial swelling followed by testicular pain and swelling suggests mumps, a viral infection that can cause orchitis. Mumps is preventable by a live attenuated vaccine, which aligns with option A. Other options do not fit the clinical presentation of mumps.""
}",A,,0.9,"The patient's history of fever and facial swelling followed by testicular pain and swelling suggests mumps, a viral infection that can cause orchitis. Mumps is preventable by a live attenuated vaccine, which aligns with option A. Other options do not fit the clinical presentation of mumps."
4,4,"A 25-year-old woman presents to her new family physician for a follow-up appointment. She previously presented with itching, as well as frequent and painful urination. A vaginal swab was taken and sent to the laboratory to confirm the diagnosis. Diplococci were seen on Gram stain and were grown on Thayer-Martin agar. When discussing her infection, the patient says that she uses safe sex practices. Her history is significant for meningitis and for infection with Streptococcus pneumoniae. The physician discusses that the reason behind these infections comes from a defect in the innate immune system. Which of the following best describes the component that is likely deficient in this patient?",Acts as an important opsonin,Degraded by C1 esterase inhibitor,Creates pores in the cell membrane,Induces the alternative complement pathway,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient’s history of Neisseria gonorrhoeae infection (diplococci on Thayer-Martin agar) and recurrent infections like meningitis and Streptococcus pneumoniae suggests a deficiency in the terminal complement components (C5-C9), which form the membrane attack complex (MAC). Option C, 'Creates pores in the cell membrane,' aligns with the function of the MAC, which is critical for lysing gram-negative bacteria like Neisseria. This deficiency explains her susceptibility to these specific infections.""
}",C,,0.9,"The patient’s history of Neisseria gonorrhoeae infection (diplococci on Thayer-Martin agar) and recurrent infections like meningitis and Streptococcus pneumoniae suggests a deficiency in the terminal complement components (C5-C9), which form the membrane attack complex (MAC). Option C, 'Creates pores in the cell membrane,' aligns with the function of the MAC, which is critical for lysing gram-negative bacteria like Neisseria. This deficiency explains her susceptibility to these specific infections."
5,5,"A 61-year-old man presents to his primary care provider complaining of abdominal pain and constipation. He reports a 4-day history of steady right lower quadrant pain. He has had one small bowel movement in 4 days. Normally he has a bowel movement once a day. His medical history is notable for poorly controlled hypertension and hyperlipidemia. He takes enalapril, hydrochlorothiazide, aspirin, and atorvastatin. He has a 40 pack-year smoking history and drinks 3-4 beers per day. His diet consists primarily of fast food. His temperature is 101.8F (38.8C), blood pressure is 160/95 mmHg, pulse is 90/min, and respirations are 16/min. A review of the patients medical record reveals colonoscopy results from 1 year ago. Relevant findings included multiple small, pedunculated polyps which were removed, multiple colonic mucosal outpouchings, and no other masses. This patients condition is most strongly associated with which of the following disorders?",Alpha-1-antitrypsin deficiency,Autosomal recessive polycystic kidney disorder,Ehlers-Danlos syndrome,Menetrier disease,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's presentation of right lower quadrant pain, fever, and history of colonic outpouchings (likely diverticula) suggests diverticulitis as the most probable diagnosis. However, none of the provided options (A–D) are associated with diverticulitis or directly relevant to this clinical scenario.""
}",null,NO_VALID_OPTION,0.9,"The patient's presentation of right lower quadrant pain, fever, and history of colonic outpouchings (likely diverticula) suggests diverticulitis as the most probable diagnosis. However, none of the provided options (A–D) are associated with diverticulitis or directly relevant to this clinical scenario."
6,6,"A 43-year-old man comes to the emergency department with nausea, abdominal discomfort, diarrhea, and progressive perioral numbness for the past 24 hours. 3 days ago, he underwent a total thyroidectomy for treatment of papillary thyroid cancer. His only medication is a multivitamin supplement. He appears fatigued. While measuring the patient's blood pressure, the nurse observes a spasm in the patient's hand. Physical examination shows a well-healing surgical wound on the neck. Which of the following ECG findings are most likely in this patient?",Torsade de pointes,U waves,Peaked T waves,PR prolongation,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""This patient likely has hypocalcemia due to hypoparathyroidism following total thyroidectomy, as suggested by perioral numbness, hand spasm (Trousseau's sign), and fatigue. Hypocalcemia can prolong the QT interval, increasing the risk of torsade de pointes, making option A the most likely ECG finding.""
}",A,,0.8,"This patient likely has hypocalcemia due to hypoparathyroidism following total thyroidectomy, as suggested by perioral numbness, hand spasm (Trousseau's sign), and fatigue. Hypocalcemia can prolong the QT interval, increasing the risk of torsade de pointes, making option A the most likely ECG finding."
7,7,A 39-year-old man presents to the emergency department because of progressively worsening chest pain and nausea that started at a local bar 30 minutes prior. The pain radiates to the epigastric area. He has a 5-year history of untreated hypertension. He has smoked 1 pack of cigarettes daily for the past 5 years and started abusing cocaine 2 weeks before his emergency room visit. The patient is diaphoretic and in marked distress. What should be the first step in management?,Diltiazem,Labetalol,Nitroglycerin,Propranolol,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""Given the patient's presentation of chest pain, nausea, diaphoresis, and history of hypertension and recent cocaine use, acute coronary syndrome is a primary concern. Nitroglycerin is the appropriate first step in management to relieve chest pain and improve coronary blood flow, provided there are no contraindications such as hypotension. Caution is warranted due to cocaine use, but it remains the initial intervention in this context.""
}",C,,0.9,"Given the patient's presentation of chest pain, nausea, diaphoresis, and history of hypertension and recent cocaine use, acute coronary syndrome is a primary concern. Nitroglycerin is the appropriate first step in management to relieve chest pain and improve coronary blood flow, provided there are no contraindications such as hypotension. Caution is warranted due to cocaine use, but it remains the initial intervention in this context."
8,8,"A 24-year-old female presents to the emergency department with a chief complaint of an inability to urinate. She states that this has been one of many symptoms she has experienced lately. At times she has had trouble speaking and has noticed changes in her vision however these episodes occurred over a month ago and have resolved since then. Two days ago she experienced extreme pain in her face that was exacerbated with brushing her teeth and plucking out facial hairs. The patient has no relevant past medical history, however, the patient admits to being sexually abused by her boyfriend for the past year. Her current medications include ibuprofen for menstrual cramps. On physical exam it is noted that leftward gaze results in only the ipsilateral eye gazing leftward. The patient's initial workup is started in the emergency department. Her vital signs are within normal limits and you note a pale and frightened young lady awaiting further care. Which of the following is the best initial test for this patient's chief complaint?",Head MRI,Lumbar puncture,Post void residual volumes,Domestic abuse screening and exploring patient's life stressors,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The patient's chief complaint is an inability to urinate, which suggests a possible urinary retention issue. Measuring post-void residual volumes is a direct and appropriate initial test to assess bladder function and confirm retention. While other symptoms and history are concerning for neurological or psychological issues, addressing the acute urinary complaint takes precedence.""
}",C,,0.8,"The patient's chief complaint is an inability to urinate, which suggests a possible urinary retention issue. Measuring post-void residual volumes is a direct and appropriate initial test to assess bladder function and confirm retention. While other symptoms and history are concerning for neurological or psychological issues, addressing the acute urinary complaint takes precedence."
9,9,"A 70-year-old man is brought to the physician by his daughter because of increasing forgetfulness over the past 3 years. Initially, he used to forget his children's names or forget to lock the house door. During the past year, he has gotten lost twice while returning from the grocery store and was unable to tell passersby his address. One time, he went to the park with his granddaughter and returned home alone without realizing he had forgotten her. His daughter says that over the past year, he has withdrawn himself from social gatherings and avoids making conversation. He does not sleep well at night. His daughter has hired a helper to cook and clean his home. On mental status examination, he is oriented only to person. He describes his mood as fair. Short- and long-term memory deficits are present. He appears indifferent about his memory lapses and says this is normal for someone his age. The most appropriate initial pharmacotherapy for this patient is a drug that acts on which of the following neurotransmitters?",-aminobutyric acid,Serotonin,Acetylcholine,Glutamate,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's progressive memory loss, disorientation, and social withdrawal over several years suggest Alzheimer's disease. Initial pharmacotherapy often involves cholinesterase inhibitors, which increase acetylcholine levels to improve cognitive function.""
}",C,,0.9,"The patient's progressive memory loss, disorientation, and social withdrawal over several years suggest Alzheimer's disease. Initial pharmacotherapy often involves cholinesterase inhibitors, which increase acetylcholine levels to improve cognitive function."
10,10,A 55-year-old man with a history of chronic glomerulonephritis due to IgA nephropathy presents to your office with bone pain. Which of the following laboratory findings would you most expect upon analysis of this patient's serum?,"Decreased PTH, increased calcium, increased phosphate, increased calcitriol","Increased PTH, increased calcium, decreased phosphate, decreased calcitriol","Decreased PTH, decreased calcium, increased phosphate, decreased calcitriol","Normal PTH, normal calcium, normal phosphate, normal calcitriol","{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""In chronic glomerulonephritis, renal dysfunction leads to secondary hyperparathyroidism due to decreased calcitriol production and phosphate retention. However, as the disease progresses, PTH levels may eventually decrease due to exhaustion or severe hypocalcemia, alongside low calcium, high phosphate, and low calcitriol, which matches option C. This pattern is consistent with advanced chronic kidney disease.""
}",C,,0.9,"In chronic glomerulonephritis, renal dysfunction leads to secondary hyperparathyroidism due to decreased calcitriol production and phosphate retention. However, as the disease progresses, PTH levels may eventually decrease due to exhaustion or severe hypocalcemia, alongside low calcium, high phosphate, and low calcitriol, which matches option C. This pattern is consistent with advanced chronic kidney disease."
