question_id,category,question_type,correct_choice,stem,option_A,option_B,option_C,option_D,row_index,judge_raw,judge_label,judge_plausible_options,judge_reason,judge_parse_ok,judge_error,judge_reused
369ee941ab1d2799ffbd6914eb48d8dae7a478d491da8730898f282f90583b9e,Nephrology,INTACT,A,A 75-year-old patient has a history of squamous cell carcinoma of the lung that was resected some years ago. He presents with pedal edema. Urinary dipstick showed protein 2+. What is the most likely diagnosis?,Membranous nephropathy,Membranoproliferative glomerulonephritis,Minimal change nephropathy,IgA nephropathy,1,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""A""],
  ""reason"": ""Membranous nephropathy is classically linked to solid tumors and presents with nephrotic features in older adults; the other options are less consistent with the age, cancer association, and presentation.""
}",FALSE_NOTA,A,"Membranous nephropathy is classically linked to solid tumors and presents with nephrotic features in older adults; the other options are less consistent with the age, cancer association, and presentation.",TRUE,,FALSE
848959a0e225bb21e476a7e0a09a317f9f0230646d2462dbb33c75c5011b1501,Otolaryngology,INTACT,B,"You are asked to see a 10-year-old male emergently. He is having
difficulty breathing and swallowing. He has a fever of 38.5 C and is sitting up and leaning slightly forward on the bed when you arrive. You note that there is swelling in the submental and submandibularregions with protrusion of his tongue. You are concerned about a severe infection in the floor of the mouth. Which of the following is true of this condition?",It is an uncommon presentation of mumps of the submandibular gland.,Airway protection may necessitate a tracheostomy,. It is most commonly caused by Staphylococcus aureus.,It usually arises in children as a complication of lymphoma.,2,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""B""],
  ""reason"": ""Presentation is consistent with Ludwig’s angina, in which airway protection may require tracheostomy; other options are incorrect (not due to mumps, not usually Staph aureus, not related to lymphoma).""
}",FALSE_NOTA,B,"Presentation is consistent with Ludwig’s angina, in which airway protection may require tracheostomy; other options are incorrect (not due to mumps, not usually Staph aureus, not related to lymphoma).",TRUE,,FALSE
11ad7562a94a37faa7b23ee173610d9a5e7f19970de667598ffa18486fc2d378,Psychiatry,INTACT,B,"One of the popular aetiological theories of Schizophrenia is the Neurochemical abnormality hypothesis. According to this hypothesis which of the following may contribute to the development of psychosis ; 
 




",GABA hyperactivity,Glutamate hypoactivity,Dopamine hypoactivity,Serotonin hypoactivity,3,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""B""],
  ""reason"": ""Glutamate hypoactivity (NMDA receptor hypofunction) is a well-established neurochemical contributor to psychosis, making option B correct; therefore NOTA is not correct.""
}",FALSE_NOTA,B,"Glutamate hypoactivity (NMDA receptor hypofunction) is a well-established neurochemical contributor to psychosis, making option B correct; therefore NOTA is not correct.",TRUE,,FALSE
456170ef51e4e0b2fb5686637a80f3615603ec97aabbd19b0bf4e1ea9859d496,Pediatrics,NOTA,NOTA,A 36-hour old infant presents with repeated blinking and lip smacking. There was no fever or jaundice. The serum calcium measures 1.2 mmol/l. What of the following is not a likely aetiological factor?,Hypoglycaemia,Perinatal asphyxia,Maternal diabetes,Early-Onset Sepsis,4,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""A""],
  ""reason"": ""The infant has hypocalcaemia; perinatal asphyxia, maternal diabetes, and early-onset sepsis are recognized causes, whereas hypoglycaemia is not an etiological factor for hypocalcaemia.""
}",FALSE_NOTA,A,"The infant has hypocalcaemia; perinatal asphyxia, maternal diabetes, and early-onset sepsis are recognized causes, whereas hypoglycaemia is not an etiological factor for hypocalcaemia.",TRUE,,FALSE
8598af64fdb3213981ac1621a8cd549f7139b8d227ed0e308d076d203d395dd1,Endocrinology,INTACT,B,"IGF-I is a potent growth & differentiation factor. Peripheral tissue IGF-I exerts local paracrine actions that appear to be both dependent and independent of GH. The major source of circulating IGF-I is from?





",Pancreas,Liver,Heart,Muscle,5,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""B""],
  ""reason"": ""The liver is the principal source of circulating IGF-I; other listed tissues are not major endocrine sources.""
}",FALSE_NOTA,B,The liver is the principal source of circulating IGF-I; other listed tissues are not major endocrine sources.,TRUE,,FALSE
905a6e6073b110eba109a703d58099b0df59216bba177ff127211d39c9759924,Obstetrics_and_Gynecology,NOTA,NOTA,"A nineteen-year-old-girl is admitted with pelvic pain, a positive pregnancy test and a 3 cm viable ectopic pregnancy seen in the right fallopian tube on ultrasound. She has already had a left salpingectomy for a previous ectopic. The best management would be:",Methotrexate.,Laparotomy.,Conservative management with serial βHCGs.,Laparoscopic salpingectomy.,6,"{
  ""label"": ""TRUE_NOTA"",
  ""plausible_options"": [],
  ""reason"": ""Best management is laparoscopic salpingostomy to preserve fertility in a stable patient with a viable tubal ectopic and only one remaining tube; none of the listed options specifies this, and methotrexate is suboptimal with fetal cardiac activity.""
}",TRUE_NOTA,,"Best management is laparoscopic salpingostomy to preserve fertility in a stable patient with a viable tubal ectopic and only one remaining tube; none of the listed options specifies this, and methotrexate is suboptimal with fetal cardiac activity.",TRUE,,FALSE
0f8bb2eda64f6f179af7336a7d8725db23a3c56125b7a0b910783577f801e9b1,Nephrology,INTACT,C,"A 32-year-old man is referred to the renal clinic by his GP after a second episode of gross hematuria. Past history of note includes coeliac disease. On both occasions the hematuria appears to have been closely associated with an upper respiratory tract infection. Blood pressure is 125/80 mmHg. Light microscopy of a renal biopsy specimen reveals diffuse mesangial proliferation and extracellular matrix expansion. Ig A deposits are seen on
immunofluorescence. Which of the following diagnoses fits best with this clinical picture?",Alport’s syndrome,Lupus nephritis,IgA nephropathy,Goodpasture’s syndrome,7,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""C""],
  ""reason"": ""Synpharyngitic gross hematuria with mesangial proliferation and IgA deposits is classic for IgA nephropathy, making option C correct and NOTA incorrect.""
}",FALSE_NOTA,C,"Synpharyngitic gross hematuria with mesangial proliferation and IgA deposits is classic for IgA nephropathy, making option C correct and NOTA incorrect.",TRUE,,FALSE
afb2f8a9191b335e5161483e501cc721c7dd45b35df2c85bef435ec930e5ba72,General_Surgery,NOTA,NOTA,A 26-year-old female comes to the emergency setting following a high-impact blunt trauma. She ishypotensive with large-volume intraperitoneal fluid on ultrasound (FAST). She has received 2 unitsof whole blood but remains hypotensive. Which of the following is true regarding a damage control treatment strategy?,Damage control resuscitation requires that the patient be  hemodynamically stable beforesurgery is undertaken.,Damage control surgery aims to perform the definitive operation that the patient requires asquickly as possible.,"The patient should remain in the emergency or casualty area until she has been stabilized, asthis is the best place for resuscitation.",Damaged control surgery is always performed by an experienced  surgeon,8,"{
  ""label"": ""TRUE_NOTA"",
  ""plausible_options"": [],
  ""reason"": ""Correct strategy is urgent damage-control laparotomy with hemostatic resuscitation and delayed definitive repair; A–C assert the opposite, and D is an absolute/vague non-principle, so none are acceptable.""
}",TRUE_NOTA,,"Correct strategy is urgent damage-control laparotomy with hemostatic resuscitation and delayed definitive repair; A–C assert the opposite, and D is an absolute/vague non-principle, so none are acceptable.",TRUE,,FALSE
ded60398ca460057abc8708ca47b00a1cec62b89dd1d9ae012a8ffd23ee008bb,Obstetrics_and_Gynecology,INTACT,C,"A young medical student has come to you to you with complaints of oligomenorrrhea, hirsuitism and weight gain, ultrasound reveals bulky ovaries with sub-capsular cysts. Most likely diagnosis is: 
",Ovarian cancer.,Cushing's syndrome.,Polycystic ovarian disease.,Diabetes mellitus.,9,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""C""],
  ""reason"": ""Oligomenorrhea, hirsutism, weight gain, and ultrasound showing bulky ovaries with subcapsular cysts are classic for polycystic ovarian disease; option C matches exactly, so NOTA is not correct.""
}",FALSE_NOTA,C,"Oligomenorrhea, hirsutism, weight gain, and ultrasound showing bulky ovaries with subcapsular cysts are classic for polycystic ovarian disease; option C matches exactly, so NOTA is not correct.",TRUE,,FALSE
8ed48e257b5db221455eda7a329ed405487caab85154651e4c48f357dde7d85d,General_Surgery,NOTA,NOTA,"32-year-old man comes to the emergency department with an acutely incarcerated inguinal hernia. With sedation, the hernia is reduced and he feels better. Eighteen hours later, he complains of increasing abdominal pain and has diffuse tenderness on examination. He most likely had which of the following?",Epigastric hernia,Amyand’s hernia,Petit’s (lumbar) hernia,Diastasis recti,10,"{
  ""label"": ""TRUE_NOTA"",
  ""plausible_options"": [],
  ""reason"": ""Post-reduction worsening pain and diffuse tenderness suggests reduction en masse/Richter’s-type strangulation of an inguinal hernia, which is not among the options. Epigastric, Amyand’s, lumbar (Petit’s), and diastasis recti do not fit this scenario.""
}",TRUE_NOTA,,"Post-reduction worsening pain and diffuse tenderness suggests reduction en masse/Richter’s-type strangulation of an inguinal hernia, which is not among the options. Epigastric, Amyand’s, lumbar (Petit’s), and diastasis recti do not fit this scenario.",TRUE,,FALSE
