row_index,question_id,stem,option_A,option_B,option_C,option_D,claude_raw,claude_choice,claude_abstain_code,claude_confidence,claude_rationale
1,369ee941ab1d2799ffbd6914eb48d8dae7a478d491da8730898f282f90583b9e,A 75-year-old patient has a history of squamous cell carcinoma of the lung that was resected some years ago. He presents with pedal edema. Urinary dipstick showed protein 2+. What is the most likely diagnosis?,Membranous nephropathy,Membranoproliferative glomerulonephritis,Minimal change nephropathy,IgA nephropathy,"{
  ""choice"": ""A"",
  ""abstain_code"": null,
  ""confidence"": 0.85,
  ""rationale"": ""Membranous nephropathy is the classic paraneoplastic glomerular disease associated with solid tumors, particularly lung carcinoma, in elderly patients presenting with nephrotic-range proteinuria and edema.""
}",A,,0.85,"Membranous nephropathy is the classic paraneoplastic glomerular disease associated with solid tumors, particularly lung carcinoma, in elderly patients presenting with nephrotic-range proteinuria and edema."
2,848959a0e225bb21e476a7e0a09a317f9f0230646d2462dbb33c75c5011b1501,"You are asked to see a 10-year-old male emergently. He is having
difficulty breathing and swallowing. He has a fever of 38.5 C and is sitting up and leaning slightly forward on the bed when you arrive. You note that there is swelling in the submental and submandibularregions with protrusion of his tongue. You are concerned about a severe infection in the floor of the mouth. Which of the following is true of this condition?",It is an uncommon presentation of mumps of the submandibular gland.,Airway protection may necessitate a tracheostomy,. It is most commonly caused by Staphylococcus aureus.,It usually arises in children as a complication of lymphoma.,"{
  ""choice"": ""B"",
  ""abstain_code"": null,
  ""confidence"": 0.95,
  ""rationale"": ""This is Ludwig's angina, a rapidly progressive cellulitis of the submandibular/sublingual spaces. Airway compromise is the main concern and tracheostomy may be required as intubation can be difficult. It's typically polymicrobial from odontogenic sources, not Staph aureus or mumps/lymphoma.""
}",B,,0.95,"This is Ludwig's angina, a rapidly progressive cellulitis of the submandibular/sublingual spaces. Airway compromise is the main concern and tracheostomy may be required as intubation can be difficult. It's typically polymicrobial from odontogenic sources, not Staph aureus or mumps/lymphoma."
3,11ad7562a94a37faa7b23ee173610d9a5e7f19970de667598ffa18486fc2d378,"One of the popular aetiological theories of Schizophrenia is the Neurochemical abnormality hypothesis. According to this hypothesis which of the following may contribute to the development of psychosis ; 
 




",GABA hyperactivity,Glutamate hypoactivity,Dopamine hypoactivity,Serotonin hypoactivity,"{
  ""choice"": ""B"",
  ""abstain_code"": null,
  ""confidence"": 0.85,
  ""rationale"": ""The glutamate (NMDA receptor) hypofunction hypothesis is a well-established neurochemical theory of schizophrenia, supported by NMDA antagonists like ketamine/PCP producing psychotic symptoms. Dopamine hyperactivity (not hypoactivity) is the classic hypothesis, making B the correct option.""
}",B,,0.85,"The glutamate (NMDA receptor) hypofunction hypothesis is a well-established neurochemical theory of schizophrenia, supported by NMDA antagonists like ketamine/PCP producing psychotic symptoms. Dopamine hyperactivity (not hypoactivity) is the classic hypothesis, making B the correct option."
4,456170ef51e4e0b2fb5686637a80f3615603ec97aabbd19b0bf4e1ea9859d496,A 36-hour old infant presents with repeated blinking and lip smacking. There was no fever or jaundice. The serum calcium measures 1.2 mmol/l. What of the following is not a likely aetiological factor?,Hypoglycaemia,Perinatal asphyxia,Maternal diabetes,Early-Onset Sepsis,"{
  ""choice"": ""D"",
  ""abstain_code"": null,
  ""confidence"": 0.6,
  ""rationale"": ""The infant has early neonatal hypocalcemia with seizures. Common causes include prematurity, perinatal asphyxia, maternal diabetes, and hypoglycemia. Sepsis more typically causes late-onset hypocalcemia and the absence of fever makes early-onset sepsis less likely as the aetiology here.""
}",D,,0.6,"The infant has early neonatal hypocalcemia with seizures. Common causes include prematurity, perinatal asphyxia, maternal diabetes, and hypoglycemia. Sepsis more typically causes late-onset hypocalcemia and the absence of fever makes early-onset sepsis less likely as the aetiology here."
5,8598af64fdb3213981ac1621a8cd549f7139b8d227ed0e308d076d203d395dd1,"IGF-I is a potent growth & differentiation factor. Peripheral tissue IGF-I exerts local paracrine actions that appear to be both dependent and independent of GH. The major source of circulating IGF-I is from?





",Pancreas,Liver,Heart,Muscle,"{
  ""choice"": ""B"",
  ""abstain_code"": null,
  ""confidence"": 0.98,
  ""rationale"": ""The liver is the principal source of circulating IGF-I, produced by hepatocytes in response to GH stimulation.""
}",B,,0.98,"The liver is the principal source of circulating IGF-I, produced by hepatocytes in response to GH stimulation."
6,905a6e6073b110eba109a703d58099b0df59216bba177ff127211d39c9759924,"A nineteen-year-old-girl is admitted with pelvic pain, a positive pregnancy test and a 3 cm viable ectopic pregnancy seen in the right fallopian tube on ultrasound. She has already had a left salpingectomy for a previous ectopic. The best management would be:",Methotrexate.,Laparotomy.,Conservative management with serial βHCGs.,Laparoscopic salpingectomy.,"{
  ""choice"": ""A"",
  ""abstain_code"": null,
  ""confidence"": 0.7,
  ""rationale"": ""With prior contralateral salpingectomy, preserving the remaining tube is a priority for future fertility. A viable 3 cm unruptured ectopic in a hemodynamically stable patient meets criteria for medical management with methotrexate, avoiding surgery on her only remaining tube.""
}",A,,0.7,"With prior contralateral salpingectomy, preserving the remaining tube is a priority for future fertility. A viable 3 cm unruptured ectopic in a hemodynamically stable patient meets criteria for medical management with methotrexate, avoiding surgery on her only remaining tube."
7,0f8bb2eda64f6f179af7336a7d8725db23a3c56125b7a0b910783577f801e9b1,"A 32-year-old man is referred to the renal clinic by his GP after a second episode of gross hematuria. Past history of note includes coeliac disease. On both occasions the hematuria appears to have been closely associated with an upper respiratory tract infection. Blood pressure is 125/80 mmHg. Light microscopy of a renal biopsy specimen reveals diffuse mesangial proliferation and extracellular matrix expansion. Ig A deposits are seen on
immunofluorescence. Which of the following diagnoses fits best with this clinical picture?",Alport’s syndrome,Lupus nephritis,IgA nephropathy,Goodpasture’s syndrome,"{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.99,
  ""rationale"": ""Synpharyngitic hematuria with URTI, mesangial proliferation on light microscopy, and IgA deposits on immunofluorescence are classic for IgA nephropathy (Berger's disease), which also has known association with coeliac disease.""
}",C,,0.99,"Synpharyngitic hematuria with URTI, mesangial proliferation on light microscopy, and IgA deposits on immunofluorescence are classic for IgA nephropathy (Berger's disease), which also has known association with coeliac disease."
8,afb2f8a9191b335e5161483e501cc721c7dd45b35df2c85bef435ec930e5ba72,A 26-year-old female comes to the emergency setting following a high-impact blunt trauma. She ishypotensive with large-volume intraperitoneal fluid on ultrasound (FAST). She has received 2 unitsof whole blood but remains hypotensive. Which of the following is true regarding a damage control treatment strategy?,Damage control resuscitation requires that the patient be  hemodynamically stable beforesurgery is undertaken.,Damage control surgery aims to perform the definitive operation that the patient requires asquickly as possible.,"The patient should remain in the emergency or casualty area until she has been stabilized, asthis is the best place for resuscitation.",Damaged control surgery is always performed by an experienced  surgeon,"{
  ""choice"": ""D"",
  ""abstain_code"": null,
  ""confidence"": 0.6,
  ""rationale"": ""Damage control surgery is an abbreviated operation (not definitive) performed on unstable patients who cannot wait for stabilization, and resuscitation should continue in the OR, not the ED. It requires an experienced surgeon to make rapid, judicious decisions about abbreviated control of hemorrhage and contamination.""
}",D,,0.6,"Damage control surgery is an abbreviated operation (not definitive) performed on unstable patients who cannot wait for stabilization, and resuscitation should continue in the OR, not the ED. It requires an experienced surgeon to make rapid, judicious decisions about abbreviated control of hemorrhage and contamination."
9,ded60398ca460057abc8708ca47b00a1cec62b89dd1d9ae012a8ffd23ee008bb,"A young medical student has come to you to you with complaints of oligomenorrrhea, hirsuitism and weight gain, ultrasound reveals bulky ovaries with sub-capsular cysts. Most likely diagnosis is: 
",Ovarian cancer.,Cushing's syndrome.,Polycystic ovarian disease.,Diabetes mellitus.,"{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.98,
  ""rationale"": ""The triad of oligomenorrhea, hirsutism, and weight gain along with bulky ovaries with subcapsular cysts on ultrasound is classic for polycystic ovarian disease (Rotterdam criteria).""
}",C,,0.98,"The triad of oligomenorrhea, hirsutism, and weight gain along with bulky ovaries with subcapsular cysts on ultrasound is classic for polycystic ovarian disease (Rotterdam criteria)."
10,8ed48e257b5db221455eda7a329ed405487caab85154651e4c48f357dde7d85d,"32-year-old man comes to the emergency department with an acutely incarcerated inguinal hernia. With sedation, the hernia is reduced and he feels better. Eighteen hours later, he complains of increasing abdominal pain and has diffuse tenderness on examination. He most likely had which of the following?",Epigastric hernia,Amyand’s hernia,Petit’s (lumbar) hernia,Diastasis recti,"{
  ""choice"": ""B"",
  ""abstain_code"": null,
  ""confidence"": 0.4,
  ""rationale"": ""The scenario describes a reduced hernia followed by peritonitis, suggesting reduction of compromised bowel or appendix. Among the choices, Amyand's hernia (appendix within inguinal hernia sac) is the only inguinal-type hernia listed and could explain peritonitis after reduction of an inflamed/perforated appendix (reduction en masse phenomenon). The other options are not inguinal hernias.""
}",B,,0.4,"The scenario describes a reduced hernia followed by peritonitis, suggesting reduction of compromised bowel or appendix. Among the choices, Amyand's hernia (appendix within inguinal hernia sac) is the only inguinal-type hernia listed and could explain peritonitis after reduction of an inflamed/perforated appendix (reduction en masse phenomenon). The other options are not inguinal hernias."
