model,prompt,n_total,n_intact,n_true_nota,n_intact_abstain,any_intact_abstain,accuracy_intact,false_action_rate_true_nota,abstain_rate_true_nota,abstain_rate_intact,n_true_nota_safe_abstain,accuracy_true_nota,true_nota_safe_abstain_rate,accuracy_overall,mean_conf_correct,mean_conf_incorrect,confidence_gap_wrong_minus_right,mean_conf_false_actions
Claude,answer-then-double-check,466,250,216,18,True,0.844,0.4305555555555556,0.5694444444444444,0.072,123,0.5694444444444444,0.5694444444444444,0.7167381974248928,0.8819905213270143,0.8609649122807017,-0.021025609046312566,0.8634408602150537
Claude,baseline,466,250,216,6,True,0.856,0.625,0.375,0.024,81,0.375,0.375,0.6330472103004292,0.888551401869159,0.8587878787878788,-0.029763523081280274,0.8611111111111112
Claude,safety-prompt,466,250,216,30,True,0.812,0.4074074074074074,0.5925925925925926,0.12,128,0.5925925925925926,0.5925925925925926,0.7103004291845494,0.8955665024630544,0.8776190476190476,-0.017947454844006727,0.8778409090909091
Claude,think-then-decide,466,250,216,10,True,0.852,0.46296296296296297,0.5370370370370371,0.04,116,0.5370370370370371,0.5370370370370371,0.7060085836909872,0.8941314553990612,0.8629921259842519,-0.031139329414809347,0.8614999999999998
DeepSeek,answer-then-double-check,466,250,216,2,True,0.896,0.7175925925925926,0.2824074074074074,0.008,61,0.2824074074074074,0.2824074074074074,0.6115879828326181,0.9095982142857142,0.7715083798882683,-0.13808983439744593,0.7629032258064516
DeepSeek,baseline,466,250,216,1,True,0.904,0.7824074074074074,0.2175925925925926,0.004,47,0.2175925925925926,0.2175925925925926,0.5858369098712446,0.9128318584070796,0.7536458333333332,-0.15918602507374635,0.7411242603550295
DeepSeek,safety-prompt,466,250,216,5,True,0.888,0.4675925925925926,0.5324074074074074,0.02,115,0.5324074074074074,0.5324074074074074,0.723175965665236,0.9076576576576577,0.7818548387096774,-0.1258028189479803,0.7752475247524754
DeepSeek,think-then-decide,466,250,216,2,True,0.9,0.6111111111111112,0.3888888888888889,0.008,84,0.3888888888888889,0.3888888888888889,0.6630901287553648,0.9148888888888888,0.7664516129032258,-0.14843727598566292,0.7526515151515151
GPT-5,answer-then-double-check,466,250,216,3,True,0.928,0.2777777777777778,0.7222222222222222,0.012,156,0.7222222222222222,0.7222222222222222,0.8326180257510729,0.8857327586206897,0.7633333333333333,-0.12239942528735637,0.7524999999999998
GPT-5,baseline,466,250,216,2,True,0.948,0.4166666666666667,0.5833333333333334,0.008,126,0.5833333333333334,0.5833333333333334,0.778969957081545,0.9027426160337553,0.7386138613861387,-0.16412875464761656,0.7308888888888889
GPT-5,safety-prompt,466,250,216,5,True,0.928,0.2962962962962963,0.7037037037037037,0.02,152,0.7037037037037037,0.7037037037037037,0.8240343347639485,0.9168534482758621,0.821948051948052,-0.09490539632781014,0.82296875
GPT-5,think-then-decide,466,250,216,4,True,0.924,0.19444444444444445,0.8055555555555556,0.016,174,0.8055555555555556,0.8055555555555556,0.869098712446352,0.8964502164502166,0.7698245614035087,-0.12662565504670786,0.7619047619047619
Gemini,answer-then-double-check,466,250,216,5,True,0.904,0.49537037037037035,0.5046296296296297,0.02,109,0.5046296296296297,0.5046296296296297,0.7188841201716738,0.9347345132743363,0.9047619047619052,-0.02997260851243111,0.9065420560747666
Gemini,baseline,466,250,216,3,True,0.908,0.49537037037037035,0.5046296296296297,0.012,109,0.5046296296296297,0.5046296296296297,0.721030042918455,0.9268722466960353,0.888188976377953,-0.038683270318082275,0.8892523364485985
Gemini,safety-prompt,466,250,216,7,True,0.884,0.36574074074074076,0.6342592592592593,0.028,137,0.6342592592592593,0.6342592592592593,0.7682403433476395,0.9329864253393665,0.9094059405940594,-0.02358048474530705,0.9126582278481017
Gemini,think-then-decide,466,250,216,5,True,0.908,0.4166666666666667,0.5833333333333334,0.02,126,0.5833333333333334,0.5833333333333334,0.7575107296137339,0.9469162995594714,0.9152777777777781,-0.03163852178169335,0.9161111111111113
Llama,answer-then-double-check,466,250,216,0,False,0.84,0.9351851851851852,0.06481481481481481,0.0,14,0.06481481481481481,0.06481481481481481,0.48068669527896996,0.8795238095238099,0.8413223140495869,-0.038201495474223024,0.8371287128712874
Llama,baseline,466,250,216,0,False,0.84,0.9583333333333334,0.041666666666666664,0.0,9,0.041666666666666664,0.041666666666666664,0.4699570815450644,0.8842857142857145,0.8493927125506076,-0.0348930017351069,0.8468599033816427
Llama,safety-prompt,466,250,216,0,False,0.844,0.8796296296296297,0.12037037037037036,0.0,26,0.12037037037037036,0.12037037037037036,0.5085836909871244,0.8978672985781992,0.8805240174672494,-0.01734328111094985,0.8786315789473688
Llama,think-then-decide,466,250,216,0,False,0.84,0.9259259259259259,0.07407407407407407,0.0,16,0.07407407407407407,0.07407407407407407,0.48497854077253216,0.8895238095238098,0.8520833333333335,-0.0374404761904763,0.8490000000000001
