row_index,question_id,stem,option_A,option_B,option_C,option_D,gpt5_raw,gpt5_choice,gpt5_abstain_code,gpt5_confidence,gpt5_rationale
1,369ee941ab1d2799ffbd6914eb48d8dae7a478d491da8730898f282f90583b9e,A 75-year-old patient has a history of squamous cell carcinoma of the lung that was resected some years ago. He presents with pedal edema. Urinary dipstick showed protein 2+. What is the most likely diagnosis?,Membranous nephropathy,Membranoproliferative glomerulonephritis,Minimal change nephropathy,IgA nephropathy,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.87,
  ""rationale"": ""Membranous nephropathy is the classic paraneoplastic glomerulopathy linked to solid tumors, including lung cancer, in older adults. Pedal edema with proteinuria suggests nephrotic syndrome. Minimal change disease is more associated with Hodgkin lymphoma; MPGN and IgA are less consistent here.""
}",A,,0.87,"Membranous nephropathy is the classic paraneoplastic glomerulopathy linked to solid tumors, including lung cancer, in older adults. Pedal edema with proteinuria suggests nephrotic syndrome. Minimal change disease is more associated with Hodgkin lymphoma; MPGN and IgA are less consistent here."
2,848959a0e225bb21e476a7e0a09a317f9f0230646d2462dbb33c75c5011b1501,"You are asked to see a 10-year-old male emergently. He is having
difficulty breathing and swallowing. He has a fever of 38.5 C and is sitting up and leaning slightly forward on the bed when you arrive. You note that there is swelling in the submental and submandibularregions with protrusion of his tongue. You are concerned about a severe infection in the floor of the mouth. Which of the following is true of this condition?",It is an uncommon presentation of mumps of the submandibular gland.,Airway protection may necessitate a tracheostomy,. It is most commonly caused by Staphylococcus aureus.,It usually arises in children as a complication of lymphoma.,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""This presentation is classic for Ludwig’s angina, a rapidly progressive cellulitis of the floor of the mouth with high risk of airway obstruction. Airway protection may require emergent tracheostomy if intubation is not feasible. It is not typically due to mumps, Staphylococcus aureus, or lymphoma.""
}",B,,0.9,"This presentation is classic for Ludwig’s angina, a rapidly progressive cellulitis of the floor of the mouth with high risk of airway obstruction. Airway protection may require emergent tracheostomy if intubation is not feasible. It is not typically due to mumps, Staphylococcus aureus, or lymphoma."
3,11ad7562a94a37faa7b23ee173610d9a5e7f19970de667598ffa18486fc2d378,"One of the popular aetiological theories of Schizophrenia is the Neurochemical abnormality hypothesis. According to this hypothesis which of the following may contribute to the development of psychosis ; 
 




",GABA hyperactivity,Glutamate hypoactivity,Dopamine hypoactivity,Serotonin hypoactivity,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""Glutamate NMDA receptor hypofunction is implicated in psychosis (e.g., PCP/ketamine models). Dopamine and serotonin contributions are linked to hyperactivity, not hypoactivity, and GABA hyperactivity is not a typical mechanism.""
}",B,,0.9,"Glutamate NMDA receptor hypofunction is implicated in psychosis (e.g., PCP/ketamine models). Dopamine and serotonin contributions are linked to hyperactivity, not hypoactivity, and GABA hyperactivity is not a typical mechanism."
4,8598af64fdb3213981ac1621a8cd549f7139b8d227ed0e308d076d203d395dd1,"IGF-I is a potent growth & differentiation factor. Peripheral tissue IGF-I exerts local paracrine actions that appear to be both dependent and independent of GH. The major source of circulating IGF-I is from?





",Pancreas,Liver,Heart,Muscle,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""Hepatocytes produce most circulating IGF-I under GH stimulation, while other tissues mainly provide local (paracrine) IGF-I.""
}",B,,0.95,"Hepatocytes produce most circulating IGF-I under GH stimulation, while other tissues mainly provide local (paracrine) IGF-I."
5,905a6e6073b110eba109a703d58099b0df59216bba177ff127211d39c9759924,"A nineteen-year-old-girl is admitted with pelvic pain, a positive pregnancy test and a 3 cm viable ectopic pregnancy seen in the right fallopian tube on ultrasound. She has already had a left salpingectomy for a previous ectopic. The best management would be:",Methotrexate.,Laparotomy.,Conservative management with serial βHCGs.,Laparoscopic salpingectomy.,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.82,
  ""rationale"": ""She is stable with an unruptured 3 cm ectopic and only one remaining tube; methotrexate best preserves fertility despite lower success with viability. Laparotomy is for instability; conservative βHCGs are inappropriate; salpingectomy would render her infertile.""
}",A,,0.82,She is stable with an unruptured 3 cm ectopic and only one remaining tube; methotrexate best preserves fertility despite lower success with viability. Laparotomy is for instability; conservative βHCGs are inappropriate; salpingectomy would render her infertile.
6,0f8bb2eda64f6f179af7336a7d8725db23a3c56125b7a0b910783577f801e9b1,"A 32-year-old man is referred to the renal clinic by his GP after a second episode of gross hematuria. Past history of note includes coeliac disease. On both occasions the hematuria appears to have been closely associated with an upper respiratory tract infection. Blood pressure is 125/80 mmHg. Light microscopy of a renal biopsy specimen reveals diffuse mesangial proliferation and extracellular matrix expansion. Ig A deposits are seen on
immunofluorescence. Which of the following diagnoses fits best with this clinical picture?",Alport’s syndrome,Lupus nephritis,IgA nephropathy,Goodpasture’s syndrome,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.98,
  ""rationale"": ""Synpharyngitic gross hematuria with mesangial proliferation and IgA deposits on immunofluorescence is classic for IgA nephropathy. Celiac disease is a known association. Other options have distinct immunopathology (e.g., anti-GBM, full-house IF, or GBM abnormalities).""
}",C,,0.98,"Synpharyngitic gross hematuria with mesangial proliferation and IgA deposits on immunofluorescence is classic for IgA nephropathy. Celiac disease is a known association. Other options have distinct immunopathology (e.g., anti-GBM, full-house IF, or GBM abnormalities)."
7,afb2f8a9191b335e5161483e501cc721c7dd45b35df2c85bef435ec930e5ba72,A 26-year-old female comes to the emergency setting following a high-impact blunt trauma. She ishypotensive with large-volume intraperitoneal fluid on ultrasound (FAST). She has received 2 unitsof whole blood but remains hypotensive. Which of the following is true regarding a damage control treatment strategy?,Damage control resuscitation requires that the patient be  hemodynamically stable beforesurgery is undertaken.,Damage control surgery aims to perform the definitive operation that the patient requires asquickly as possible.,"The patient should remain in the emergency or casualty area until she has been stabilized, asthis is the best place for resuscitation.",Damaged control surgery is always performed by an experienced  surgeon,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.86,
  ""rationale"": ""Damage control surgery is performed by experienced surgeons due to the need for rapid hemorrhage/contamination control and complex intraoperative judgment. It does not require preoperative hemodynamic stability, does not aim for definitive repair, and unstable patients should proceed to the OR rather than remain in the ED.""
}",D,,0.86,"Damage control surgery is performed by experienced surgeons due to the need for rapid hemorrhage/contamination control and complex intraoperative judgment. It does not require preoperative hemodynamic stability, does not aim for definitive repair, and unstable patients should proceed to the OR rather than remain in the ED."
8,ded60398ca460057abc8708ca47b00a1cec62b89dd1d9ae012a8ffd23ee008bb,"A young medical student has come to you to you with complaints of oligomenorrrhea, hirsuitism and weight gain, ultrasound reveals bulky ovaries with sub-capsular cysts. Most likely diagnosis is: 
",Ovarian cancer.,Cushing's syndrome.,Polycystic ovarian disease.,Diabetes mellitus.,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.96,
  ""rationale"": ""Oligomenorrhea, hirsutism, weight gain, and ultrasound showing bulky ovaries with subcapsular cysts are classic for polycystic ovarian disease. Cushing’s can mimic features but lacks the characteristic ovarian ultrasound. Ovarian cancer and diabetes mellitus do not fit this constellation.""
}",C,,0.96,"Oligomenorrhea, hirsutism, weight gain, and ultrasound showing bulky ovaries with subcapsular cysts are classic for polycystic ovarian disease. Cushing’s can mimic features but lacks the characteristic ovarian ultrasound. Ovarian cancer and diabetes mellitus do not fit this constellation."
9,8ed48e257b5db221455eda7a329ed405487caab85154651e4c48f357dde7d85d,"32-year-old man comes to the emergency department with an acutely incarcerated inguinal hernia. With sedation, the hernia is reduced and he feels better. Eighteen hours later, he complains of increasing abdominal pain and has diffuse tenderness on examination. He most likely had which of the following?",Epigastric hernia,Amyand’s hernia,Petit’s (lumbar) hernia,Diastasis recti,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""An inguinal hernia containing the appendix (Amyand’s hernia) can be reduced, with later development of worsening abdominal pain and diffuse peritonitis as the inflamed appendix is returned to the peritoneal cavity. Other options are non-inguinal or not true hernias.""
}",B,,0.9,"An inguinal hernia containing the appendix (Amyand’s hernia) can be reduced, with later development of worsening abdominal pain and diffuse peritonitis as the inflamed appendix is returned to the peritoneal cavity. Other options are non-inguinal or not true hernias."
10,e5a27fedf79c3a2209069f7839800ea8c7a2a1e7707c5cf4ff377bfaca63d8f2,"Kwesi Simon Senyo is a 25 year old man whose presented with the father to you at the clinic. His father reports that Kwesi has been a stubborn child since childhood. He would skip school , bully other children , steal from home and sometimes insulted his teachers. Currently he has not been able to stay in school, he has been caught for stealing and scamming people on several occasions. He mostly lies to get money from the parents. He thinks mostly about himself and wouldn’t mind hurting other people to benefit himself. He lacks remorse when he does bad things and is confronted. 
What is the most likely diagnosis for Kwesi’s condition?",Narcissistic personality disorder,Histrionic personality disorder,Avoidant personality disorder,Antisocial personality disorder,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""A pervasive pattern of deceitfulness, aggression, violating others' rights, and lack of remorse beginning in childhood aligns with antisocial personality disorder. The history suggests conduct disorder before age 15, supporting the diagnosis.""
}",D,,0.95,"A pervasive pattern of deceitfulness, aggression, violating others' rights, and lack of remorse beginning in childhood aligns with antisocial personality disorder. The history suggests conduct disorder before age 15, supporting the diagnosis."
